TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,N_heat,N_isothermal
1000.0,0.5574698333333333,0.5072013333333333,-0.3773998333333333,0.0,15269.566666666668,12960.349999999999,1.8212849999999998,14813.033333333333,14814.866666666667,-0.006676744999999999,0.41051183333333335,0.5746141666666666,0.9851258333333334,6,0.05,0.05,0.05,1.0,500000,9500000
2000.0,0.22812983333333334,0.01139175745,-0.4372692533333334,0.0,5624.738333333334,5303.678333333333,0.7050591666666667,32120.71666666667,32121.45,0.008739105,0.12087783333333335,0.24203600000000003,0.3629138333333333,6,0.05,0.05,0.05,1.0,500000,9500000
3000.0,0.08788321666666667,0.008284644933333333,-0.4713420000000535,0.0,2141.3783333333336,2043.1566666666668,0.26997000000000004,38867.96666666667,38868.26666666667,-0.00295128,0.04973193333333334,0.08845148333333334,0.13818333333333332,6,0.05,0.05,0.05,1.0,500000,9500000
4000.0,0.033559116666666666,0.001050304,-0.45811283333333325,0.0,790.7181666666667,780.1995000000001,0.10134966666666666,41482.6,41482.700000000004,0.00133531,0.017280266666666665,0.03376331666666666,0.05104354999999999,6,0.05,0.05,0.05,1.0,500000,9500000
5000.0,0.012690783333333332,0.0009254585000000002,-0.4842311666666667,0.0,294.78366666666665,295.042,0.03805325,42464.100000000006,42464.16666666667,0.0003553426666666666,0.006268108333333334,0.012781366666666667,0.019049466666666667,6,0.05,0.05,0.05,1.0,500000,9500000
6000.0,0.004999841666666667,0.0008395098333333333,-0.49269999999999997,0.0,112.28033333333332,116.23883333333333,0.014743183333333333,42825.55,42825.566666666666,-0.0005850943333333332,0.0024524733333333333,0.00482316,0.007275631666666667,6,0.05,0.05,0.05,1.0,500000,9500000
7000.0,0.0022758916666666667,0.0008588816666666666,-0.497059,0.0,44.26541666666666,52.91106666666667,0.006269451666666666,42956.95,42956.96666666667,1.8569341333333334e-5,0.0009787471666666667,0.0019090999999999997,0.002887846666666667,6,0.05,0.05,0.05,1.0,500000,9500000
8000.0,0.00129914,0.0015140418333333334,-0.4985003333333333,0.0,20.839016666666666,30.203049999999994,0.0032930416666666663,43003.1,43003.1,0.00028910066666666673,0.0005127641666666667,0.000863754,0.0013765200000000002,6,0.05,0.05,0.05,1.0,500000,9500000
9000.0,0.0010114416666666668,0.0016559016666666665,-0.4993320000000006,0.0,12.836283333333332,23.51448333333333,0.0023452083333333333,43017.816666666666,43017.83333333333,9.880325000000003e-5,0.00036375016666666667,0.0004965039999999999,0.0008602543333333332,6,0.05,0.05,0.05,1.0,500000,9500000
10000.0,0.0009633928333333333,0.002729378333333333,-0.499614,0.0,10.599066666666667,22.39741666666667,0.0021288066666666663,43021.18333333333,43021.18333333333,8.769930000000001e-6,0.0003318141666666667,0.000384054,0.000715868,6,0.05,0.05,0.05,1.0,500000,9500000
