file0,file1,file2,file3,phi,CL-Con,Npart,Temperature,Nexp,damp,time-step,N_heat,N_isot,N_CL,N_MO,L,save-dump,save-fix,save-stress,seed1,seed2,seed3,dir,file_system,file_name,id_ref
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,1.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,65.0,27.0,92.0,2026-04-12-002638_1,system_info_9c200fc0-d5f7-4441-b953-f44387ba99f9.csv,dat-0.05-0.05-5000.0-0.05.csv,9c200fc0-d5f7-4441-b953-f44387ba99f9
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,2.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,16.0,17.0,33.0,2026-04-12-041103_2,system_info_9c200fc0-d5f7-4441-b953-f44387ba99f9.csv,dat-0.05-0.05-5000.0-0.05.csv,9c200fc0-d5f7-4441-b953-f44387ba99f9
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,3.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,20.0,,,2026-04-12-080017_3,system_info_9c200fc0-d5f7-4441-b953-f44387ba99f9.csv,dat-0.05-0.05-5000.0-0.05.csv,9c200fc0-d5f7-4441-b953-f44387ba99f9
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,4.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,72.0,63.0,135.0,2026-04-12-114820_4,system_info_9c200fc0-d5f7-4441-b953-f44387ba99f9.csv,dat-0.05-0.05-5000.0-0.05.csv,9c200fc0-d5f7-4441-b953-f44387ba99f9
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,5.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,84.0,57.0,141.0,2026-04-12-153742_5,system_info_9c200fc0-d5f7-4441-b953-f44387ba99f9.csv,dat-0.05-0.05-5000.0-0.05.csv,9c200fc0-d5f7-4441-b953-f44387ba99f9
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,6.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,81.0,51.0,132.0,2026-04-12-192649_6,system_info_9c200fc0-d5f7-4441-b953-f44387ba99f9.csv,dat-0.05-0.05-5000.0-0.05.csv,9c200fc0-d5f7-4441-b953-f44387ba99f9
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,7.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,65.0,52.0,117.0,2026-04-12-232236_7,system_info_9c200fc0-d5f7-4441-b953-f44387ba99f9.csv,dat-0.05-0.05-5000.0-0.05.csv,9c200fc0-d5f7-4441-b953-f44387ba99f9
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,8.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,25.0,27.0,52.0,2026-04-13-031601_8,system_info_9c200fc0-d5f7-4441-b953-f44387ba99f9.csv,dat-0.05-0.05-5000.0-0.05.csv,9c200fc0-d5f7-4441-b953-f44387ba99f9
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,9.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,28.0,20.0,48.0,2026-04-13-070415_9,system_info_9c200fc0-d5f7-4441-b953-f44387ba99f9.csv,dat-0.05-0.05-5000.0-0.05.csv,9c200fc0-d5f7-4441-b953-f44387ba99f9
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,10.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,103.0,76.0,179.0,2026-04-13-105637_10,system_info_9c200fc0-d5f7-4441-b953-f44387ba99f9.csv,dat-0.05-0.05-5000.0-0.05.csv,9c200fc0-d5f7-4441-b953-f44387ba99f9
