file0,file1,file2,file3,phi,CL-Con,Npart,Temperature,Nexp,damp,time-step,N_heat,N_isot,N_CL,N_MO,L,save-dump,save-fix,save-stress,seed1,seed2,seed3,dir,file_system,file_name,id_ref
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,1.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,63.0,49.0,112.0,2026-04-09-014715_1,system_info_598f74ee-a181-4d78-9e50-6a83563d09e1.csv,dat-0.03-0.05-5000.0-0.05.csv,598f74ee-a181-4d78-9e50-6a83563d09e1
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,2.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,14.0,17.0,31.0,2026-04-09-051002_2,system_info_598f74ee-a181-4d78-9e50-6a83563d09e1.csv,dat-0.03-0.05-5000.0-0.05.csv,598f74ee-a181-4d78-9e50-6a83563d09e1
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,3.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,80.0,,,2026-04-09-083443_3,system_info_598f74ee-a181-4d78-9e50-6a83563d09e1.csv,dat-0.03-0.05-5000.0-0.05.csv,598f74ee-a181-4d78-9e50-6a83563d09e1
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,4.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,54.0,17.0,71.0,2026-04-09-120149_4,system_info_598f74ee-a181-4d78-9e50-6a83563d09e1.csv,dat-0.03-0.05-5000.0-0.05.csv,598f74ee-a181-4d78-9e50-6a83563d09e1
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,5.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,65.0,51.0,116.0,2026-04-09-153129_5,system_info_598f74ee-a181-4d78-9e50-6a83563d09e1.csv,dat-0.03-0.05-5000.0-0.05.csv,598f74ee-a181-4d78-9e50-6a83563d09e1
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,6.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,81.0,79.0,160.0,2026-04-09-185520_6,system_info_598f74ee-a181-4d78-9e50-6a83563d09e1.csv,dat-0.03-0.05-5000.0-0.05.csv,598f74ee-a181-4d78-9e50-6a83563d09e1
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,7.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,59.0,49.0,108.0,2026-04-09-222032_7,system_info_598f74ee-a181-4d78-9e50-6a83563d09e1.csv,dat-0.03-0.05-5000.0-0.05.csv,598f74ee-a181-4d78-9e50-6a83563d09e1
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,8.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,99.0,51.0,150.0,2026-04-10-014249_8,system_info_598f74ee-a181-4d78-9e50-6a83563d09e1.csv,dat-0.03-0.05-5000.0-0.05.csv,598f74ee-a181-4d78-9e50-6a83563d09e1
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,9.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,71.0,27.0,98.0,2026-04-10-051349_9,system_info_598f74ee-a181-4d78-9e50-6a83563d09e1.csv,dat-0.03-0.05-5000.0-0.05.csv,598f74ee-a181-4d78-9e50-6a83563d09e1
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,10.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,49.0,,,2026-04-10-083603_10,system_info_598f74ee-a181-4d78-9e50-6a83563d09e1.csv,dat-0.03-0.05-5000.0-0.05.csv,598f74ee-a181-4d78-9e50-6a83563d09e1
