file0,file1,file2,file3,phi,CL-Con,Npart,Temperature,Nexp,damp,time-step,N_heat,N_isot,N_CL,N_MO,L,save-dump,save-fix,save-stress,seed1,seed2,seed3,dir,file_system,file_name,id_ref
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,1.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,65.0,45.0,110.0,2026-04-07-172737_1,system_info_36d4c2c2-5e53-44c7-9ea7-2589d772ae22.csv,dat-0.02-0.05-5000.0-0.05.csv,36d4c2c2-5e53-44c7-9ea7-2589d772ae22
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,2.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,,67.0,67.0,2026-04-07-204508_2,system_info_36d4c2c2-5e53-44c7-9ea7-2589d772ae22.csv,dat-0.02-0.05-5000.0-0.05.csv,36d4c2c2-5e53-44c7-9ea7-2589d772ae22
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,3.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,102.0,81.0,183.0,2026-04-07-235544_3,system_info_36d4c2c2-5e53-44c7-9ea7-2589d772ae22.csv,dat-0.02-0.05-5000.0-0.05.csv,36d4c2c2-5e53-44c7-9ea7-2589d772ae22
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,4.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,,,,2026-04-08-030911_4,system_info_36d4c2c2-5e53-44c7-9ea7-2589d772ae22.csv,dat-0.02-0.05-5000.0-0.05.csv,36d4c2c2-5e53-44c7-9ea7-2589d772ae22
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,5.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,30.0,36.0,66.0,2026-04-08-062500_5,system_info_36d4c2c2-5e53-44c7-9ea7-2589d772ae22.csv,dat-0.02-0.05-5000.0-0.05.csv,36d4c2c2-5e53-44c7-9ea7-2589d772ae22
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,6.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,75.0,,,2026-04-08-094029_6,system_info_36d4c2c2-5e53-44c7-9ea7-2589d772ae22.csv,dat-0.02-0.05-5000.0-0.05.csv,36d4c2c2-5e53-44c7-9ea7-2589d772ae22
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,7.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,78.0,71.0,149.0,2026-04-08-125219_7,system_info_36d4c2c2-5e53-44c7-9ea7-2589d772ae22.csv,dat-0.02-0.05-5000.0-0.05.csv,36d4c2c2-5e53-44c7-9ea7-2589d772ae22
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,8.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,65.0,30.0,95.0,2026-04-08-160651_8,system_info_36d4c2c2-5e53-44c7-9ea7-2589d772ae22.csv,dat-0.02-0.05-5000.0-0.05.csv,36d4c2c2-5e53-44c7-9ea7-2589d772ae22
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,9.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,66.0,49.0,115.0,2026-04-08-192136_9,system_info_36d4c2c2-5e53-44c7-9ea7-2589d772ae22.csv,dat-0.02-0.05-5000.0-0.05.csv,36d4c2c2-5e53-44c7-9ea7-2589d772ae22
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,10.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,54.0,66.0,120.0,2026-04-08-223410_10,system_info_36d4c2c2-5e53-44c7-9ea7-2589d772ae22.csv,dat-0.02-0.05-5000.0-0.05.csv,36d4c2c2-5e53-44c7-9ea7-2589d772ae22
