timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
5.8e6,0.16640712653797785,2.8261687718785886,0.6182683552449751,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,0.26644652718160705,3.806559081480934,0.8833219218681707,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,0.4146184035584643,3.602966286636907,0.8614237024250578,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,0.5721939835905296,3.076259509969193,0.7308520920943256,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,0.7372391047304465,2.4141058610119646,0.5723840579577512,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,0.9110485184054838,2.1519923390220614,0.5102651576132221,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.075891060681915,1.839224222235912,0.43670607297094094,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.2405125526094756,1.6512126162649166,0.39320725276845625,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.4100753393638379,1.5405381772994406,0.3660101488028098,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.5781649628537946,1.3868731209438003,0.330521004821547,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.7446683485012755,1.2988607961046186,0.3077936720105627,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.9084264728269837,1.2293171553931928,0.2923748915942006,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.073677887387049,1.1804739827242339,0.2803144778805799,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.2433442279603497,1.1173917591055356,0.26550977645097346,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.410935901692485,1.063188616590817,0.25294464886035956,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.5759721587773035,0.998671772983752,0.23676129564811213,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.7408751778542473,0.9580858895126688,0.2270605285891909,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.9078190808239657,0.9006409003947186,0.21364861175206898,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.075096969217735,0.8531891855178472,0.20247908223066993,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.2415286478287078,0.8147905202120188,0.19413975712583723,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.4093960864458897,0.7830047870314901,0.18611170991322792,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.57536079712662,0.7550552286336827,0.17932766320052776,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.739948284783737,0.7248598704758954,0.17215980575439513,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.9073893900820065,0.6946239237052704,0.16520834179833813,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.074087291048524,0.6755281762475452,0.1604289472330591,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.239973016158672,0.6629915745066984,0.15772337937880065,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.407323146499056,0.6452814713678657,0.15326285301970838,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.574671793958157,0.6333613357247696,0.15014003874667556,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.740685206894386,0.6439004749655429,0.1530999788718725,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.9069750068880795,0.6468347966603334,0.15365008499573432,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.072444808144045,0.6672291367334262,0.15836333565446806,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.238882741566024,0.6976126780173412,0.1655268396866359,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.405923118956908,0.7490044670181956,0.17792078194810546,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.572671841390216,0.8338988858862998,0.1981328787996477,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.739172713052713,0.9396711074437519,0.22326368953425266,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.905577090220496,1.0761420425813282,0.25520326333950194,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.990656555367199,1.1465629453134296,0.27062409830113315,0.05,0.05,0.05,1.0,0.001,500000,9500000
