timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,time_heat,time_isothermal,Nsim
2.88e6,0.09731560440562248,0.6569061528365989,0.16219571458781853,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,0.14999725702850447,1.4553257780436835,0.3593323087454526,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,0.2384158115382547,3.1542490273641075,0.7788109043766431,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,0.3337792426748078,4.050083286762343,1.0,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,0.4311406041371052,3.625172128744129,0.8950858222083898,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,0.5327850979461668,3.9942192695389287,0.9862066991545569,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,0.6325388041490235,3.4456305805395537,0.8507554873751766,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,0.7277837832062057,3.351672336255458,0.8275563979660285,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,0.8242555247001287,3.215945733888344,0.7940443458038582,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,0.9230715905028245,2.665213288851182,0.6580638224311104,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,1.022182801803496,2.4669389557481,0.6091082037278753,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,1.1170550084737947,2.1654848445802677,0.5346766205174431,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,1.214394656572064,2.0092140089996966,0.49609202249415285,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,1.3145143455979063,1.8360411378176005,0.4533341681685122,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,1.4113580850868679,1.7435569759355212,0.43049904223804975,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,1.5067812110011178,1.654253505107058,0.40844925597307324,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,1.6039425958023952,1.5760517838363677,0.38914058606836,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,1.701913652140549,1.4823934539367865,0.3660155480708199,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,1.7986498797565238,1.432038257030603,0.3535824218013506,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,1.8957352880425387,1.354920546656848,0.3345414034040713,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,1.9938767667073873,1.2870121522222895,0.3177742434159011,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,2.0909287379487624,1.2558897781968812,0.31008986464593075,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,2.1871068346302747,1.200360952533512,0.296379325446684,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,2.2849616139821176,1.1528137709505126,0.28463952203612036,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,2.382811465002986,1.087062596992756,0.268404998125794,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,2.480113003714131,1.0903377305656754,0.2692136564523089,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
2.88e6,2.5780804313495316,1.042246623268457,0.2573395531580869,0.01,0.05,0.05,1.0,0.001,500.0,9500.0,4
