TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
10000.0,0.358358,0.00609519,-1.77012,0.0,4816.02,4299.76,1.13947,162655.0,162656.0,-4.35573e-5,0.233741,0.368482,0.602223,0.01,0.5,0.05,1.0,0.002,500000,500000000
20000.0,0.00146522,0.000942338,-2.10154,0.0,7.39789,17.5804,0.00312229,171743.0,171743.0,2.82051e-5,0.000548512,0.000638799,0.00118731,0.01,0.5,0.05,1.0,0.002,500000,500000000
30000.0,0.00246192,0.00302877,-4.13363,0.0,11.905,29.5393,0.00518054,171727.0,171727.0,4.40889e-5,0.000927202,0.00107725,0.00200445,0.01,0.5,0.05,1.0,0.002,500000,500000000
40000.0,0.0034731,0.00953208,-11.42,0.0,11.1796,41.672,0.00660645,171715.0,171715.0,6.43e-5,0.00130717,0.00151659,0.00282376,0.01,0.5,0.05,1.0,0.002,500000,500000000
50000.0,0.00446304,0.0180005,-18.8203,0.0,10.2496,53.5498,0.00797493,171704.0,171704.0,8.14276e-5,0.00168543,0.00194606,0.0036315,0.01,0.5,0.05,1.0,0.002,500000,500000000
60000.0,0.00549098,0.0259297,-29.3439,0.0,6.58464,65.8835,0.00905852,171696.0,171696.0,9.79028e-5,0.00207156,0.00241626,0.00448782,0.01,0.5,0.05,1.0,0.002,500000,500000000
70000.0,0.00648878,0.0529486,-43.0341,0.0,-0.77409,77.8556,0.00963519,171691.0,171691.0,0.00011999,0.00244067,0.00283522,0.00527589,0.01,0.5,0.05,1.0,0.002,500000,500000000
80000.0,0.00747253,0.0720452,-58.9713,0.0,-10.3177,89.6592,0.00991769,171689.0,171689.0,0.000136237,0.00280903,0.00326368,0.0060727,0.01,0.5,0.05,1.0,0.002,500000,500000000
90000.0,0.00847776,0.106679,-69.9365,0.0,-14.4524,101.72,0.0109085,171681.0,171681.0,0.000154332,0.00318894,0.00373323,0.00692217,0.01,0.5,0.05,1.0,0.002,500000,500000000
100000.0,0.00950916,0.152323,-87.6012,0.0,-25.5002,114.096,0.0110744,171680.0,171680.0,0.000174882,0.00357497,0.00416862,0.00774359,0.01,0.5,0.05,1.0,0.002,500000,500000000
