timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
8.38e6,0.09731560440562248,2.7943993631881,0.33948354350432836,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,0.14312573712117277,4.213370256195809,0.5118702371293127,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,0.23841581153825495,7.639590137881326,0.9281118386635185,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,0.33485311057702105,8.231324954202005,1.0,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,0.4343952690516561,7.602927831942422,0.9236578405352842,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,0.5358233857687565,6.840216032975691,0.8309981772112924,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,0.6339063392655175,4.756653639889681,0.5778721732351799,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,0.7277837832062057,4.145260607102392,0.5035957917062039,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,0.8259376414919914,3.1305419843278144,0.38032054398845055,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,0.9243210918481215,2.784383055354628,0.3382666910669381,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,1.022182801803496,2.6958600796891714,0.3275122892959004,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,1.1173471327217428,2.1788871618173196,0.2647067360285686,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,1.213688464411393,2.1945343553289294,0.2666076685757185,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,1.313273450527723,1.9643503604906611,0.23864327692322254,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,1.4107318949698813,1.8994339914311207,0.23075677390934243,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,1.506640864861161,1.7398249128811778,0.21136632590273519,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,1.6034451523315203,1.652086650774612,0.2007072567255699,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,1.7014414145142422,1.5283875357492707,0.18567940693059928,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,1.7987265555996903,1.4234376950983076,0.17292935256694703,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,1.8957888248253194,1.3319731868036335,0.16181759245498809,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,1.9943789369970213,1.2937159085108618,0.15716982572173066,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,2.0914301624586282,1.2570601903639291,0.15271662792540017,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,2.187082507395002,1.2315765126148157,0.14962068919246213,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,2.2849417235593523,1.1178381974701594,0.13580294833330747,0.01,0.05,0.05,1.0,0.001,500000,9500000
8.38e6,2.382710404909207,1.0896590516295817,0.13237954493259582,0.01,0.05,0.05,1.0,0.001,500000,9500000
