timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
1.29e6,0.16640712653797785,0.4707876793756048,0.16482350342017044,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,0.26644652718160705,2.8563139940998954,1.0,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,0.4146184035584643,2.2657384621126986,0.7932385818901175,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,0.5721939835905296,2.130805599768239,0.7459983755881557,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,0.7372391047304465,2.0659159261010416,0.7232803992727941,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,0.9110485184054838,1.8184865990436312,0.6366550045968203,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,1.075891060681915,1.7941134920280528,0.6281219416821953,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,1.2405125526094756,1.6137277412611997,0.5649686080012819,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,1.4100753393638379,1.5247873858160321,0.5338304503516377,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,1.5781649628537946,1.2651001348393816,0.44291353732559435,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,1.7446683485012755,1.240595004502008,0.4343342528393676,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,1.9084264728269837,1.1753529234250393,0.41149289813826156,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,2.073677887387049,1.1411261296008324,0.3995100440490728,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,2.2433442279603497,1.1489844054094127,0.40226123870932823,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,2.410935901692485,1.082909902123053,0.3791284516898179,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,2.5759721587773035,0.9457915316391291,0.33112309556750064,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,2.7408751778542473,0.9167213152925797,0.320945567324248,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,2.9078190808239657,0.8921278409034813,0.31233535344723745,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,3.075096969217735,0.8178577033310573,0.2863332620364755,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,3.2415286478287078,0.8652143783131795,0.3029129080697701,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,3.4093960864458897,0.7766844513155887,0.27191844206201976,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,3.57536079712662,0.7716464034563487,0.2701546136210127,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,3.739948284783737,0.7369317280735865,0.2580009514345479,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,3.9073893900820065,0.7268860636487858,0.2544839485960814,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,4.074087291048524,0.6969317164289208,0.24399688475025083,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,4.239973016158672,0.6940543915985212,0.2429895288235764,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,4.407323146499056,0.6874364864044771,0.24067258985688217,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,4.574671793958157,0.6824708088589841,0.238934098375991,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,4.740685206894386,0.6724281149619767,0.23541813552395444,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,4.9069750068880795,0.698452935182713,0.24452946581694535,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,5.072444808144045,0.7196596270417263,0.251953961829225,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,5.238882741566024,0.7331873718686357,0.2566900464665768,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,5.405923118956908,0.817286556971687,0.2861333028021091,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,5.572671841390216,0.8944883840037497,0.3131617832813329,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,5.739172713052713,0.961759970018992,0.33671367083788334,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,5.905577090220496,1.0983916349686975,0.38454863059088557,0.05,0.05,0.05,1.0,0.001,500000,9500000
1.29e6,5.990656555367199,1.3454900438451765,0.47105817029376634,0.05,0.05,0.05,1.0,0.001,500000,9500000
