timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
4.83e6,0.09731560440562248,1.8150519968502252,0.24980737791325494,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,0.14312573712117277,2.9867328324402393,0.4110669549379817,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,0.23841581153825495,6.07996525427097,0.8367915523130094,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,0.33485311057702105,7.26580620641436,1.0,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,0.4343952690516561,6.03758889125914,0.8309592521101193,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,0.5358233857687565,5.685149049336824,0.7824526126664226,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,0.6339063392655175,4.361645735023089,0.60029755970818,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,0.7277837832062057,3.7692972768719004,0.5187720632494037,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,0.8259376414919914,3.2448170634474685,0.4465873395553678,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,0.9243210918481215,2.7087057207872918,0.37280181219201897,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,1.022182801803496,2.5166578146760505,0.3463700714250138,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,1.1173471327217428,2.216919493945093,0.30511679378235607,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,1.213688464411393,2.073897805308429,0.2854325791785586,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,1.313273450527723,1.8999412984999677,0.26149077535575777,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,1.4107318949698813,1.816204103704549,0.24996594350413276,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,1.506640864861161,1.6750301344253962,0.23053603231898134,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,1.6034451523315203,1.6511723325503185,0.22725245976043779,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.83e6,1.7014414145142422,1.524510721749535,0.2098198986374939,0.01,0.05,0.05,1.0,0.001,500000,9500000
