timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal,Nsim
4.669e8,0.09731560440562248,68.87542622075107,0.6246295353413573,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,0.14312573712117277,110.26604142743737,1.0,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,0.23841581153825495,43.35909070754977,0.39322252024512033,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,0.33485311057702105,18.522470140595765,0.16797982316962762,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,0.4343952690516561,10.139884228649134,0.091958359050387,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,0.5358233857687565,6.792775873661612,0.061603516238784406,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,0.6339063392655175,4.679399989740807,0.042437362665460096,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,0.7277837832062057,3.8767633483673114,0.03515827083462036,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,0.8259376414919914,3.0407327104581365,0.027576329675888,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,0.9243210918481215,2.599122567745063,0.023571378223960857,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,1.022182801803496,2.383082556748171,0.02161211671243683,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,1.1173471327217428,2.330915254477132,0.021139012739575257,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,1.213688464411393,1.9607107305477103,0.017781637076705912,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,1.313273450527723,1.8249640955556892,0.01655055420445687,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,1.4107318949698813,1.76641578455226,0.016019581021367153,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,1.506640864861161,1.6520131130823457,0.014982066025916816,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,1.6034451523315203,1.6120219780609994,0.014619387412414009,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,1.7014414145142422,1.5038887980011608,0.013638730279356432,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,1.7987265555996903,1.3766314568728903,0.012484636602999921,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,1.8957888248253194,1.358994829654987,0.01232469046736659,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,1.9943789369970213,1.2374524231394954,0.01122242539153656,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,2.0914301624586282,1.2281558805879562,0.011138115277278428,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,2.187082507395002,1.1796048185930503,0.0106978068979588,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,2.2849417235593523,1.1275616555363928,0.010225828740559311,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,2.382710404909207,1.085591218660154,0.009845199887533348,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,2.4799731415277058,1.0335666202635934,0.009373390092576699,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,2.5776972027758394,1.0184293966782993,0.00923611098661319,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,2.67554753703456,0.9797821004230877,0.008885619613612878,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,2.772503006914722,0.947427578265256,0.008592197253120113,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,2.8692806372181447,0.9245382931638431,0.008384614893174094,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,2.96593377447594,0.901702458826798,0.00817751727688692,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,3.0635297477775563,0.8446366430218103,0.007659988806051764,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,3.1614185011165015,0.8258841117767156,0.007489922564420743,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,3.2589325618292024,0.8019066145611158,0.007272471235750541,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,3.3562862594722063,0.7987071314722037,0.00724345520282242,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,3.453757438034321,0.7618703650442179,0.006909383480004412,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,3.551161144114627,0.7579584878102585,0.0068739067622106236,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,3.6478625652505854,0.728194135542679,0.006603974588331265,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,3.7451440320694656,0.7209971781419504,0.00653870555982928,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,3.8426210059407913,0.7052818186081056,0.006396183353260481,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,3.9395947445724304,0.6823637760373606,0.006188340192537001,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,4.037095535211362,0.6719680815618658,0.006094061896690714,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,4.134549388617974,0.6648780297046127,0.006029762391915993,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,4.232215552445368,0.6531570924302209,0.005923465501933731,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,4.330103843164631,0.653479867793211,0.00592639274371018,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,4.427361922080238,0.6536293638883112,0.005927748520095774,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,4.524137645996126,0.6325997731957425,0.005737031682705654,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,4.621068005352794,0.6300678485463111,0.005714069720739354,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,4.718398679508387,0.6308817810191739,0.005721451254186335,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,4.815930194097771,0.6425767591988271,0.0058275127217810455,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,4.913344955822582,0.6625839087435358,0.006008957065712398,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,5.010894737573997,0.6600738267826133,0.005986193194547454,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,5.108560944675358,0.6651561036321859,0.006032284237481258,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,5.2060950464250615,0.689929784764736,0.006256956138384248,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,5.302964777800892,0.7261153181652995,0.006585121844998247,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,5.400192108614449,0.7526120182479114,0.006825419762104924,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,5.497500456516036,0.792397654903269,0.007186234716013824,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,5.594369116860314,0.8409039154142024,0.0076261367917843945,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
4.669e8,5.691732337002324,0.9081941139967504,0.0082363899369182,0.01,0.05,0.05,1.0,0.001,500000,500000000,5
