timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
8.06e6,0.16640712653797785,2.0875454344939874,0.43795425731032833,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,0.26644652718160705,4.766583266742357,1.0,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,0.4146184035584643,4.1247666690534865,0.8653508054360478,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,0.5721939835905296,3.5242580765330005,0.7393677775698644,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,0.7372391047304465,2.105587699507902,0.4417394140996369,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,0.9110485184054838,2.3169888029572614,0.4860900719228953,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,1.075891060681915,1.8389062759243002,0.3857912834031053,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,1.2405125526094756,1.6967598261094767,0.3559698281047966,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,1.4100753393638379,1.4769353625306894,0.3098520008735894,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,1.5781649628537946,1.4402094798176106,0.3021471354263991,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,1.7446683485012755,1.3434444459024761,0.28184642346983085,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,1.9084264728269837,1.236209348766672,0.25934915632168093,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,2.073677887387049,1.2107385837183362,0.25400554568425604,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,2.2433442279603497,1.1182110199745023,0.2345938290382002,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,2.410935901692485,1.0603507339361995,0.2224550951064952,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,2.5759721587773035,0.9625542488714361,0.2019379910107556,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,2.7408751778542473,0.8992633442411921,0.18865994653142373,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,2.9078190808239657,0.8815959486018371,0.18495343504286443,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,3.075096969217735,0.862114319168758,0.18086630840668308,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,3.2415286478287078,0.8207742507814835,0.17219341504180377,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,3.4093960864458897,0.7654896722793403,0.1605950487890043,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,3.57536079712662,0.7586980620882138,0.15917021053252964,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,3.739948284783737,0.7123622364818333,0.14944923787488676,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,3.9073893900820065,0.687249573218431,0.14418075480051784,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,4.074087291048524,0.6966231844847398,0.14614728108187136,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,4.239973016158672,0.6531105326735416,0.1370185930098939,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,4.407323146499056,0.6358253587753571,0.1333922693036057,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,4.574671793958157,0.6489524364907255,0.13614624987643223,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,4.740685206894386,0.6272847392246202,0.13160049958664158,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,4.9069750068880795,0.6628361892308734,0.13905897623894398,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,5.072444808144045,0.671036905439793,0.14077943631485162,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,5.238882741566024,0.6900209775050373,0.14476217846009032,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,5.405923118956908,0.7362981265178966,0.154470841127487,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,5.572671841390216,0.8292356814259866,0.17396857141084082,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,5.739172713052713,0.9426712687492385,0.19776666345608426,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,5.905577090220496,1.0707370659226303,0.2246340839975314,0.05,0.05,0.05,1.0,0.001,500000,9500000
8.06e6,5.990656555367199,1.447869363565577,0.30375413216165204,0.05,0.05,0.05,1.0,0.001,500000,9500000
