timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
4.19e6,0.09731560440562248,2.669241115036772,0.42502609784528045,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,0.14312573712117277,3.3261442011838858,0.5296254739731218,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,0.23841581153825495,3.8844978073580245,0.6185327117318827,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,0.33485311057702105,6.280181684298452,1.0,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,0.4343952690516561,5.313192576027443,0.8460252972157398,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,0.5358233857687565,4.734741764529785,0.7539179601073427,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,0.6339063392655175,4.350944609069182,0.6928055313984468,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,0.7277837832062057,3.308327814063091,0.5267885517284454,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,0.8259376414919914,3.2620937800981142,0.5194266573933548,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,0.9243210918481215,2.799352208705277,0.44574382548583663,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,1.022182801803496,2.5105119836095393,0.39975148965614427,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,1.1173471327217428,2.17353432231566,0.3460941787321017,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,1.213688464411393,2.14314332405706,0.3412549878000013,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,1.313273450527723,1.9478981535563538,0.31016589192418403,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,1.4107318949698813,1.8193699612278589,0.28970021134525464,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,1.506640864861161,1.6817332782833423,0.2677841761310773,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,1.6034451523315203,1.6863200497278639,0.26851453261996505,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,1.7014414145142422,1.4381011284846534,0.22899037014807336,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,1.7987265555996903,1.449786465843699,0.2308510388271756,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,1.8957888248253194,1.418126379897209,0.22580976971458833,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,1.9943789369970213,1.3003662377314487,0.2070586972002085,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,2.0914301624586282,1.246369451816078,0.19846073162695574,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,2.187082507395002,1.1806511845166285,0.18799634212310481,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,2.2849417235593523,1.1448734810890326,0.18229942040552993,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,2.382710404909207,1.1022342342561253,0.17550992784363276,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,2.4799731415277058,1.0629845558127833,0.16926015985658976,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,2.5776972027758394,1.0212159817763495,0.16260930544884827,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,2.67554753703456,0.9987047374651307,0.15902481610716238,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,2.772503006914722,0.9673154799235444,0.15402667128914463,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,2.8692806372181447,0.9175985277896761,0.14611018819468746,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,2.96593377447594,0.8980796845217152,0.1430021820494574,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,3.0635297477775563,0.8877128698390888,0.14135146313657224,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,3.1614185011165015,0.8581171506916656,0.13663890534203937,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,3.2589325618292024,0.8254564333469929,0.13143830462911252,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,3.3562862594722063,0.8149578667968613,0.12976660672642606,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,3.453757438034321,0.79582770449336,0.12672049066399907,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,3.551161144114627,0.7870132288696052,0.12531695234825377,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,3.6478625652505854,0.7663565220068518,0.12202776297425862,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,3.7451440320694656,0.762481970088026,0.1214108139569216,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,3.8426210059407913,0.7459291327656266,0.11877508808870597,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,3.9395947445724304,0.7279603324062346,0.11591389692216424,0.01,0.05,0.05,1.0,0.001,500000,9500000
4.19e6,4.037095535211362,0.7092973669641262,0.1129421731122036,0.01,0.05,0.05,1.0,0.001,500000,9500000
