TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
3.153e7,0.05001116,87.5122,-5597.358,0.0,-4943.568,1162.684,-0.24392779999999997,6451.82,6451.576,4.095207999999999e-5,0.01920792,0.017326340000000003,0.0365343,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.154e7,0.05001282,87.3601,-5597.784000000001,0.0,-4942.859999999999,1162.724,-0.2438796,6452.929999999999,6452.688,-2.9905663999999995e-5,0.01919746,0.01741962,0.03661705999999999,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.155e7,0.04998434,87.47121999999999,-5597.624,0.0,-4942.951999999999,1162.062,-0.2439284,6455.681999999999,6455.4400000000005,-1.6432799999999874e-6,0.019232739999999998,0.01736094,0.03659368,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.156e7,0.049928600000000004,87.01752,-5597.965999999999,0.0,-4943.936,1160.764,-0.2440756,6459.688,6459.442,-5.156004e-5,0.01917352,0.017408140000000003,0.03658164,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.157e7,0.04999622,87.0796,-5597.66,0.0,-4943.83,1162.3380000000002,-0.243967,6459.803999999999,6459.556,-1.3717340000000001e-5,0.01922802,0.01733678,0.03656474,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.158e7,0.049990660000000006,87.17174,-5597.634,0.0,-4943.951999999999,1162.2079999999999,-0.2439834,6461.756000000001,6461.51,-6.25597e-5,0.0191996,0.017349399999999997,0.036548979999999995,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.159e7,0.049951300000000004,87.33682,-5597.758,0.0,-4943.9220000000005,1161.2939999999999,-0.24404060000000002,6464.154,6463.910000000001,-1.9643887999999997e-5,0.019188459999999997,0.0173598,0.03654826,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.16e7,0.050076140000000005,87.43064,-5597.394,0.0,-4941.878,1164.194,-0.2437214,6460.868,6460.624000000001,-2.6673599999999995e-5,0.01926438,0.017386500000000003,0.0366509,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.161e7,0.05006532,87.151,-5597.61,0.0,-4942.616,1163.944,-0.24378519999999998,6463.462,6463.214,-0.00015109774000000002,0.019237239999999996,0.01739782,0.03663502,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.162e7,0.0500722,87.37046000000001,-5597.18,0.0,-4941.708,1164.1039999999998,-0.2437164,6464.376000000001,6464.134,-9.688624000000001e-5,0.01925426,0.017397359999999997,0.03665162,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.163e7,0.0499623,87.18934,-5597.110000000001,0.0,-4944.378,1161.55,-0.24405380000000002,6471.412,6471.166,-4.421297999999999e-5,0.019183340000000004,0.0173032,0.03648656,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.164e7,0.04991214,86.86564000000001,-5597.654,0.0,-4945.162,1160.384,-0.24417940000000002,6475.039999999999,6474.796,-0.00019273435999999999,0.019157999999999998,0.017334259999999997,0.03649226,0.04,0.05,0.05,1.0,0.001,500000,500000000
3.165e7,0.049996219999999994,87.51392000000001,-5597.161999999999,0.0,-4942.602,1162.336,-0.24388800000000002,6472.228,6471.9839999999995,1.2785000000000004e-5,0.01921776,0.017365979999999996,0.03658376000000001,0.04,0.05,0.05,1.0,0.001,500000,500000000
