TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
9.38e6,0.050033499999999995,66.85042000000001,-4839.4,0.0,-4218.49,1163.2040000000002,-0.1971152,3592.268,3592.0699999999997,5.063362e-5,0.01839656,0.017349120000000003,0.03574564,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.39e6,0.050003900000000004,66.98722000000001,-4839.848,0.0,-4218.737999999999,1162.516,-0.1971756,3593.6639999999998,3593.464,6.0955758e-5,0.018368660000000002,0.01738116,0.03574982,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.4e6,0.049921900000000005,66.63504,-4840.776,0.0,-4221.548,1160.6100000000001,-0.1974802,3598.774,3598.576,3.0186734e-5,0.018327879999999998,0.01732334,0.0356512,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.41e6,0.050007800000000005,67.05261999999999,-4841.272,0.0,-4219.95,1162.606,-0.19724780000000003,3595.9600000000005,3595.762,6.2765478e-5,0.01837018,0.017389300000000003,0.03575946000000001,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.42e6,0.04996594,66.88199999999999,-4841.704000000001,0.0,-4220.794,1161.632,-0.197365,3598.3660000000004,3598.1699999999996,4.896484e-5,0.018329820000000004,0.017414,0.0357438,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.43e6,0.04998138,67.52892,-4842.032000000001,0.0,-4220.742,1161.9940000000001,-0.1973386,3598.5699999999997,3598.3720000000003,7.7272e-5,0.01835496,0.01737148,0.03572643999999999,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.44e6,0.050005560000000004,66.84022,-4842.737999999999,0.0,-4221.924000000001,1162.556,-0.1973784,3599.8,3599.6040000000003,1.632942e-5,0.01833276,0.01740752,0.035740299999999996,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.45e6,0.04994644,66.92346,-4843.008,0.0,-4222.683999999999,1161.1799999999998,-0.19751660000000001,3602.3300000000004,3602.132,2.978808e-5,0.018311200000000003,0.0173919,0.03570312,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.46e6,0.05007938000000001,67.00502,-4843.116,0.0,-4220.632,1164.2720000000002,-0.1971846,3597.6440000000002,3597.4479999999994,4.12649e-5,0.0183707,0.01746648,0.03583716,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.47e6,0.05006471999999999,67.04436000000001,-4843.59,0.0,-4221.798,1163.93,-0.1972818,3599.8540000000003,3599.656,5.557032239999999e-5,0.01834676,0.017443419999999998,0.03579020000000001,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.48e6,0.05002758,66.80948,-4843.754,0.0,-4222.4580000000005,1163.066,-0.1973802,3602.068,3601.87,2.4018911999999997e-5,0.01838514,0.01738818,0.03577328,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.49e6,0.04992158,67.12804,-4844.008,0.0,-4224.553999999999,1160.602,-0.19767459999999998,3607.3520000000003,3607.1519999999996,6.340132e-5,0.01833882,0.01729478,0.03563358,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.5e6,0.0499801,66.65088,-4844.5,0.0,-4224.784,1161.9600000000003,-0.19760139999999998,3606.7059999999997,3606.5080000000003,1.107222e-5,0.01837416,0.0173074,0.035681559999999994,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.51e6,0.050110140000000004,66.82938,-4845.446,0.0,-4224.021999999999,1164.984,-0.19735699999999998,3603.186,3602.986,1.6377767999999997e-5,0.018398699999999997,0.017381520000000004,0.03578024,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.52e6,0.04994776,66.87801999999999,-4846.848,0.0,-4227.066000000001,1161.2099999999998,-0.19779719999999998,3610.7059999999997,3610.5060000000003,5.1221600000000004e-5,0.01834132,0.01732972,0.03567106,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.53e6,0.04995136,67.1794,-4847.1,0.0,-4226.634,1161.294,-0.1977642,3610.7940000000003,3610.596,5.0985699999999995e-5,0.01835114,0.017344660000000005,0.035695779999999996,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.54e6,0.0499915,67.09984,-4847.036,0.0,-4226.882,1162.228,-0.1977196,3610.7760000000003,3610.578,3.9875106000000004e-5,0.018342,0.01733878,0.03568078,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.55e6,0.049965079999999995,66.5791,-4847.5960000000005,0.0,-4227.248,1161.6119999999999,-0.1977828,3612.518000000001,3612.3199999999997,1.53169e-5,0.018362059999999996,0.017365159999999998,0.03572718,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.56e6,0.05001880000000001,66.65754,-4848.01,0.0,-4227.411999999999,1162.8600000000001,-0.197713,3612.028,3611.828,1.9917094000000003e-5,0.01836436,0.01737346,0.03573784,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.57e6,0.05003628,67.19706,-4848.996,0.0,-4227.958,1163.268,-0.197722,3612.424,3612.226,4.9104379999999996e-5,0.018358740000000002,0.0173729,0.03573162,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.58e6,0.05002776,66.9416,-4849.4800000000005,0.0,-4228.912,1163.072,-0.1977962,3614.2059999999997,3614.0080000000003,9.15994e-6,0.01838458,0.01733326,0.03571786,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.59e6,0.049902619999999995,66.9118,-4850.132,0.0,-4229.572,1160.1599999999999,-0.1980266,3618.472,3618.2760000000003,2.8754765999999998e-5,0.01832704,0.01739222,0.03571926,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.6e6,0.05003786,67.23256,-4850.004,0.0,-4228.444,1163.306,-0.19775099999999998,3614.6400000000003,3614.442,3.801959092e-5,0.01839508,0.017368039999999998,0.03576314,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.61e6,0.050086160000000005,67.19126,-4850.822,0.0,-4228.424000000001,1164.43,-0.19767700000000002,3613.9799999999996,3613.782,2.369593e-5,0.018402420000000003,0.0174175,0.03581992,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.62e6,0.050012579999999994,67.30462,-4851.066,0.0,-4229.428,1162.718,-0.1978522,3617.3660000000004,3617.168,4.8107439999999996e-5,0.01840534,0.017358039999999998,0.03576334,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.63e6,0.05001254000000001,66.9736,-4851.688,0.0,-4230.486,1162.716,-0.1979206,3619.2160000000003,3619.018,2.75977742e-5,0.018367940000000003,0.01738878,0.035756739999999995,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.64e6,0.05001966,67.53144,-4852.964,0.0,-4231.618,1162.8819999999998,-0.19798299999999996,3620.3540000000003,3620.156,5.585845e-5,0.018377380000000002,0.01735258,0.03572998,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.65e6,0.0499536,67.1182,-4853.714,0.0,-4233.028,1161.3439999999998,-0.198173,3623.5379999999996,3623.3380000000006,3.662678e-6,0.01837908,0.01733516,0.03571422,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.66e6,0.04996156,66.71584,-4853.99,0.0,-4233.71,1161.532,-0.19820540000000003,3624.9660000000003,3624.768,3.6404759999999986e-6,0.0183473,0.01736646,0.03571374000000001,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.67e6,0.0500009,67.40035999999999,-4854.4,0.0,-4232.954,1162.4460000000001,-0.1980974,3624.1800000000003,3623.9839999999995,6.00634e-5,0.01837312,0.017371619999999997,0.03574476,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.68e6,0.05004224,67.40052,-4854.9220000000005,0.0,-4232.494000000001,1163.406,-0.1980058,3623.35,3623.154,3.60169e-5,0.018368839999999997,0.017439279999999998,0.03580814,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.69e6,0.049965020000000006,67.33916,-4855.359999999999,0.0,-4234.666,1161.6100000000001,-0.19826159999999998,3627.922,3627.7240000000006,5.1361208e-5,0.01831982,0.017380479999999997,0.035700300000000004,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.7e6,0.050003580000000006,67.41526000000002,-4854.931999999999,0.0,-4232.931999999999,1162.508,-0.1980918,3625.9,3625.7019999999998,6.588060199999999e-5,0.01836596,0.0174138,0.035779780000000004,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.71e6,0.04990494,66.94615999999999,-4855.482000000001,0.0,-4235.4400000000005,1160.2179999999998,-0.19840139999999998,3631.2119999999995,3631.012,2.201584e-5,0.01834606,0.017337599999999998,0.03568368,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.72e6,0.050058000000000005,67.4596,-4855.838,0.0,-4234.018,1163.7720000000002,-0.1980804,3626.7399999999993,3626.54,2.7820289999999994e-5,0.01835266,0.01741248,0.035765160000000004,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.73e6,0.05001448000000001,67.53424,-4855.952,0.0,-4233.952,1162.762,-0.1981414,3628.3740000000007,3628.1760000000004,5.91804e-5,0.018396260000000005,0.0173757,0.035772,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.74e6,0.049981740000000004,67.0824,-4856.249999999999,0.0,-4235.3099999999995,1162.0,-0.198278,3631.3199999999997,3631.12,2.1281414e-5,0.018353599999999998,0.01737934,0.035732940000000005,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.75e6,0.049975000000000006,67.12387999999999,-4856.820000000001,0.0,-4236.1900000000005,1161.8439999999998,-0.1983448,3633.228,3633.03,5.0511619999999994e-5,0.018341000000000003,0.017369159999999998,0.035710160000000005,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.76e6,0.05000802,67.27346,-4857.215999999999,0.0,-4236.503999999999,1162.61,-0.1983158,3633.572,3633.3719999999994,2.0744034e-5,0.018377579999999998,0.01732816,0.03570576,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.77e6,0.050011360000000005,67.31425999999999,-4857.75,0.0,-4236.824,1162.69,-0.1983312,3634.506,3634.3059999999996,3.2829942e-5,0.018363479999999998,0.01735352,0.03571704,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
9.78e6,0.05001542,67.43853999999999,-4857.824,0.0,-4235.982000000001,1162.782,-0.198271,3634.358,3634.1579999999994,4.862264e-5,0.01835986,0.01740812,0.03576798,5,0.01,0.05,0.05,1.0,0.001,500000,500000000
