timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,time_heat,time_isothermal,Nsim
7.63e6,0.16640712653797785,3.5825242637123957,0.9187065076592538,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,0.274104341707878,3.8995307357081943,1.0,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,0.43264765465703003,3.262327529197155,0.8365949008489308,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,0.5803625586625367,3.2152550874218186,0.8245235915130942,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,0.7372391047304468,2.245017615797394,0.5757148149236669,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,0.9110485184054838,1.9890470838900474,0.5100734469602318,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,1.0741875938186058,1.9123853941760958,0.4904142379656836,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,1.2395860709746545,1.7107883160915072,0.43871645898972783,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,1.4085941308044574,1.5314864955307192,0.39273610065611797,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,1.5771222060660748,1.4018701046097044,0.3594971291731877,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,1.7439167276830296,1.3818345684163353,0.3543591939827037,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,1.9078472920400424,1.2629321697349907,0.32386773058877544,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,2.073677887387049,1.2005864838643951,0.3078797335460305,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,2.2433442279603497,1.0724480558585086,0.27501977251725424,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,2.41204033108868,1.0447707443533718,0.2679221719645276,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,2.576878506862771,1.0164509672743511,0.26065981682530664,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,2.7406617330705108,0.9594791305322051,0.24604989563134036,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,2.9077039748326183,0.8933611081863548,0.2290945164262467,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,3.0753787358068125,0.8612948873325342,0.22087141907758662,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,3.2417290494451345,0.817891746213991,0.20974106928418748,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,3.409204514857923,0.755661727893204,0.19378273415659286,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,3.575175554075074,0.7548900593150224,0.19358484660794106,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,3.7396042635266094,0.7473932555125841,0.19166235790082825,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,3.9071534198260043,0.6995353330894996,0.17938961903385456,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,4.074142976519235,0.6738084069904698,0.17279217748442735,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,4.239992350990924,0.6463506218414786,0.16575087251468856,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,4.407088516522949,0.6507797794733808,0.16688669062514586,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,4.574469721485384,0.6323501340134163,0.16216057184085128,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,4.7408222095503865,0.6335337429461341,0.16246409783229415,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,4.907319587502389,0.6396037651210956,0.16402070107159628,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,5.0725204855669785,0.6627216750852233,0.16994908362092095,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,5.238769118857413,0.6962325262830019,0.17854264358210245,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,5.405890681335789,0.7488806964168815,0.19204379890106885,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,5.572643174347505,0.8273821283673035,0.21217479344140688,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,5.739070032290748,0.9261819733644366,0.23751113560494416,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,5.9054848006034835,1.0683674427041858,0.27397333554037484,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,6.072173065480761,1.236229741869972,0.31702013028125553,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
7.63e6,6.1570636819051865,1.2789324643896203,0.32797086394995506,0.05,0.05,0.05,1.0,0.001,500.0,9500.0,5
