timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
2.03e8,0.09731560440562248,21.838274096040763,0.21128772145220986,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,0.14312573712117277,103.35798950333351,1.0,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,0.23841581153825495,43.612675060024216,0.4219574632749374,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,0.33485311057702105,15.081440663252726,0.1459146093661808,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,0.4343952690516561,10.389910183052399,0.10052353217181437,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,0.5358233857687565,6.44879429627369,0.062392799311036355,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,0.6339063392655175,4.789972657137561,0.04634351616314164,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,0.7277837832062057,4.166720646480649,0.04031348390678849,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,0.8259376414919914,3.3388546127784395,0.03230378830724793,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,0.9243210918481215,2.8271527235740925,0.027353015835151387,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,1.022182801803496,2.554853310425558,0.02471848884350792,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,1.1173471327217428,2.264435362428162,0.02190866301975745,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,1.213688464411393,2.0687368555464367,0.020015258283247815,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,1.313273450527723,1.8450355886525223,0.017850923741052606,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,1.4107318949698813,1.710412599713755,0.016548431407507114,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,1.506640864861161,1.708765628969906,0.016532496783084143,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,1.6034451523315203,1.60083710498379,0.015488276355570554,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,1.7014414145142422,1.5046097494655515,0.01455726602941541,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,1.7987265555996903,1.418896421337069,0.013727980083158512,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,1.8957888248253194,1.3719285636133847,0.013273560855874979,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,1.9943789369970213,1.2860854851672658,0.012443019560919253,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,2.0914301624586282,1.1897534218694799,0.011510996175395883,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,2.187082507395002,1.1637048701397819,0.011258973551360052,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,2.2849417235593523,1.1819465908132432,0.011435464219968432,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,2.382710404909207,1.0631966224930607,0.010286545119560113,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,2.4799731415277058,1.04842166159279,0.010143595735857228,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,2.5776972027758394,0.9882162107238576,0.009561101328233417,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,2.67554753703456,0.9418870472549176,0.009112861538628707,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,2.772503006914722,0.9277639829560773,0.00897621932677159,0.01,0.05,0.05,1.0,0.001,500000,500000000
2.03e8,2.8692806372181447,0.8998679128591682,0.008706321757837072,0.01,0.05,0.05,1.0,0.001,500000,500000000
