TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal,fit_ep_parameters,fit_ep_margin_error,fit_ep_standard_error
3.6443e8,0.0500018,30.2821,-2139.87,0.0,-1885.95,464.942,-0.229194,33117.9,33117.7,-8.67457e-5,0.0185809,0.01749,0.0360709,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6444e8,0.0499432,29.9536,-2139.49,0.0,-1885.77,464.397,-0.229254,33119.0,33118.8,-5.4921e-5,0.0185942,0.017498,0.0360922,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6445e8,0.0501206,29.7796,-2139.48,0.0,-1885.17,466.046,-0.228891,33117.3,33117.0,-0.000148558,0.0186158,0.0175998,0.0362156,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6446e8,0.0500591,29.9189,-2139.47,0.0,-1885.71,465.474,-0.229071,33119.2,33119.0,-0.000108355,0.0186546,0.0174487,0.0361032,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6447e8,0.049938,30.1935,-2139.53,0.0,-1886.24,464.349,-0.229337,33121.6,33121.4,-6.36628e-5,0.0185443,0.0174389,0.0359832,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6448e8,0.0500269,30.2517,-2139.73,0.0,-1885.76,465.175,-0.229127,33120.9,33120.7,-2.55408e-5,0.0186195,0.0174634,0.0360829,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6449e8,0.049983,30.1987,-2139.48,0.0,-1885.56,464.767,-0.22916,33121.8,33121.6,-9.07794e-5,0.0186605,0.0174234,0.0360839,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.645e8,0.0498722,29.6585,-2139.9,0.0,-1887.07,463.737,-0.22957,33125.0,33124.8,-0.000123043,0.0185819,0.0174135,0.0359954,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6451e8,0.0500367,31.1853,-2139.29,0.0,-1884.58,465.267,-0.228922,33121.8,33121.6,0.00015954,0.0186614,0.017391,0.0360525,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
3.6452e8,0.0499296,29.8228,-2139.42,0.0,-1886.38,464.27,-0.229373,33125.4,33125.2,-0.000118021,0.0185484,0.0174549,0.0360033,1,0.01,0.05,0.05,1.0,0.002,500000,500000000,"[21741.09745971989, -1931.668745297488]","[118.43439018818154, 0.3996457338791447]","[60.425358270400814, 0.20389970018433343]"
