timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,time_heat,time_isothermal,Nsim
0.0,0.13156609811420616,1.2465004844136438,1.0,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,0.210660028008863,0.9860907842276094,0.7910873654344935,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,0.33048440919936206,0.7129301018423319,0.5719453066860986,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,0.45357795931059625,0.8032403632544078,0.6443963506618721,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,0.5838304400974407,0.8652558933680711,0.69414806025935,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,0.7197421198436943,0.7640191039959161,0.6129312531758158,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,0.8504533690618065,0.8859797020702913,0.7107736524362908,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,0.9814106167814612,0.8335800820527571,0.6687362680367307,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,1.1119217123628868,0.7946084170907505,0.637471406571122,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,1.2449229172590297,0.830223398320731,0.6660433820138222,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,1.3770216806889686,0.868642060620906,0.6968645993182401,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,1.5069313808280282,0.8825322599124197,0.7080079558312924,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,1.6393230600415096,0.8873677745049545,0.7118872279639539,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,1.7738976665678812,0.8699024046336455,0.6978757052331587,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,1.9059400010390484,0.9478230948359172,0.7603872655386692,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
0.0,1.9734914717130911,0.9790799140626912,0.7854629230435095,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
