timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
5.8e6,0.16640712653797785,3.742417755934378,0.7679457859726204,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,0.26644652718160705,4.8732837972338405,1.0,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,0.4146184035584643,3.18701231349418,0.6539763424619726,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,0.5721939835905296,2.889656267195757,0.5929587496701866,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,0.7372391047304465,2.5492336583809614,0.5231038791190347,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,0.9110485184054838,2.065230969761328,0.4237863124108611,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.075891060681915,1.8509173368717584,0.37980905973963,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.2405125526094756,1.670007826141452,0.34268634777424145,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.4100753393638379,1.6141103772989072,0.33121616644101537,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.5781649628537946,1.3551445634390669,0.2780762663993158,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.7446683485012755,1.3288548612212459,0.272681607825821,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,1.9084264728269837,1.2105766941924097,0.24841087541003742,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.073677887387049,1.1993240190819692,0.2461018214787175,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.2433442279603497,1.0836022450935865,0.2223556620504346,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.410935901692485,1.0215542866721345,0.20962339341944056,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.5759721587773035,0.9979522490884539,0.20478024482278434,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.7408751778542473,0.9765747279617627,0.2003935679912759,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,2.9078190808239657,0.9128803869730095,0.1873234609261164,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.075096969217735,0.8519094745707264,0.17481220261670063,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.2415286478287078,0.8016607160498251,0.1645011350467341,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.4093960864458897,0.7725888115180414,0.15853556732250562,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.57536079712662,0.7405103180324946,0.15195304620937958,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.739948284783737,0.7294272490910804,0.14967879553928623,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,3.9073893900820065,0.7042756166064484,0.14451766938059454,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.074087291048524,0.6835710533361334,0.14026908380015546,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.239973016158672,0.6654180833287296,0.13654408629073322,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.407323146499056,0.6493684317731863,0.1332506906619678,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.574671793958157,0.6420947051078668,0.13175811871911314,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.740685206894386,0.6435439275958869,0.1320554998174277,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,4.9069750068880795,0.6462833121204673,0.1326176227387596,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.072444808144045,0.6828759419353357,0.14012644663192975,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.238882741566024,0.6943498911602429,0.14248090610983252,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.405923118956908,0.75970199212021,0.15589118625749435,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.572671841390216,0.8238736465088127,0.16905923824433486,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.739172713052713,0.9474926821868062,0.19442591927944342,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.905577090220496,1.0898474221976866,0.22363717516642528,0.05,0.05,0.05,1.0,0.001,500000,9500000
5.8e6,5.990656555367199,1.0612692748832573,0.21777292664253453,0.05,0.05,0.05,1.0,0.001,500000,9500000
