timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,N_heat,N_isothermal
1.42e6,0.09731560440562248,0.05292464082818561,6.58854978336254e-5,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,0.14312573712117277,0.516808896573347,0.0006436905017904714,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,0.23841581153825495,2.5463061932487103,0.0031716745099949046,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,0.33485311057702105,6.035979340815262,0.00751844041285057,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,0.4343952690516561,10.032995607673865,0.012498107795157521,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,0.5358233857687565,18.351030876737244,0.02285990198252664,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,0.6339063392655175,21.614021577115615,0.026923543924458237,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,0.7277837832062057,27.351244790035356,0.03407062348595272,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,0.8259376414919914,34.64303825557487,0.043154100182770536,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,0.9243210918481215,40.901897308465074,0.05095124497638078,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,1.022182801803496,47.050071948746066,0.05860877133625987,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,1.1173471327217428,49.371048837076515,0.061498002176712384,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,1.213688464411393,58.99162603468849,0.0734825935079373,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,1.313273450527723,65.50346726020214,0.08159355502539752,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,1.4107318949698813,67.35105445038022,0.08389323266206358,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,1.506640864861161,75.77432649140947,0.09439146223541127,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,1.6034451523315203,80.02125107954943,0.0996776397203769,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,1.7014414145142422,91.9971745935845,0.11459853999915018,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,1.7987265555996903,91.94005340278609,0.11452151393792691,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,1.8957888248253194,101.59161330303506,0.12654976118314074,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,1.9943789369970213,109.5912684093377,0.13651438583098358,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,2.0914301624586282,109.31663723180414,0.13617202019372526,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,2.187082507395002,118.19081689433763,0.1472257627230285,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,2.2849417235593523,127.92525892087966,0.15934887166442452,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,2.382710404909207,131.3015718952736,0.16355915658375259,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,2.4799731415277058,142.7295551238473,0.1777947978624121,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,2.5776972027758394,143.68673846285347,0.17898479784992655,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,2.67554753703456,157.11534982345825,0.19571089316566298,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,2.772503006914722,153.29525690810252,0.19095174566131856,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,2.8692806372181447,171.54488269423138,0.21368694409450478,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,2.96593377447594,169.9398385822476,0.21168603476257428,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,3.0635297477775563,185.61202054500865,0.23121228877178474,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,3.1614185011165015,187.37416846537923,0.23340169115376774,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,3.2589325618292024,198.15412130802832,0.24683013079413593,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,3.3562862594722063,203.57261009914927,0.2535795949167487,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,3.453757438034321,213.8983194882424,0.2664442023952328,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,3.551161144114627,221.16968247434752,0.2755002632778437,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,3.6478625652505854,229.62759850102097,0.28604170557656905,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,3.7451440320694656,240.1862351100117,0.29919176566403954,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,3.8426210059407913,251.43258254094832,0.31319725438199475,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,3.9395947445724304,257.14362370646074,0.3203126019173363,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,4.037095535211362,273.749717835619,0.34099541364260577,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,4.134549388617974,279.94993359764004,0.34872476272456454,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,4.232215552445368,296.4984543559679,0.3693372936430839,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,4.330103843164631,308.4051847323138,0.38416582262991966,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,4.427361922080238,320.26975683702886,0.3989445786254504,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,4.524137645996126,332.753488321714,0.4145021716106407,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,4.621068005352794,353.7049854656651,0.44059718773562206,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,4.718398679508387,369.03485664416377,0.4596924758593346,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,4.815930194097771,394.2425850995457,0.49108964139181,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,4.913344955822582,409.8590489711046,0.5105485173411564,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,5.010894737573997,444.65939263824913,0.5538921645327324,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,5.108560944675358,461.3566565003757,0.5746889447679643,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,5.2060950464250615,498.5261426490295,0.6209974936601553,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,5.302964777800892,522.2113443959595,0.6504998701981075,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,5.400192108614449,571.6710541022114,0.7121068813179798,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,5.497500456516036,602.5804550870151,0.7506139697027693,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,5.594369116860314,647.9145159388524,0.8070788814397265,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,5.691732337002324,698.328949693263,0.8698776660075682,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,5.789059600838352,739.3306215342789,0.9209496091024001,0.01,0.05,0.05,1.0,500000,9500000
1.42e6,5.886718625195528,802.7934995495477,1.0,0.01,0.05,0.05,1.0,500000,9500000
