timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,time_heat,time_isothermal,Nsim
300000.0,0.13156609811420594,0.9902537519438362,0.7487588053654224,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,0.20153380532871054,1.0801746717105123,0.8167505502385839,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,0.33048440919936184,0.9515897980773845,0.7195238988064516,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,0.45644716061900015,0.8957048647996771,0.6772677237636372,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,0.5853256621140801,1.2880076500231539,0.9738989298851548,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,0.7222179895892467,1.1547538985537962,0.8731420081721069,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,0.8531013822023843,1.2882070001773704,0.9740496641621295,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,0.981830394073003,1.2359329067325748,0.9345237470096281,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,1.1155104335561734,1.3225270205143769,1.0,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,1.2480769351191863,1.2597497729691953,0.9525323516484636,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,1.3787890222657402,1.1967615283610868,0.904905162463618,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,1.5090020817146872,1.1408694313955128,0.8626435707542587,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,1.6413303768637812,1.1067923586981248,0.8368769344823326,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,1.7753971768840855,1.171062164466876,0.8854731482245324,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,1.9058305000030924,1.1216032898217512,0.8480758974478424,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
300000.0,2.035846368973503,1.0805359487624804,0.81702372201229,0.01,0.5,0.05,1.0,0.002,1000.0,1.0e6,1
