timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,time_heat,time_isothermal,Nsim
300000.0,0.0,0.0,0.0,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,0.2281331810629941,0.6977996008086508,0.5887594031975226,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,0.3961178911015467,0.6341355548798167,0.5350436864748951,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,0.5388435830200363,0.7696237971978265,0.6493601415072435,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,0.6915554742155545,0.9757326085896657,0.823261789843219,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,0.8490608550482629,1.0979280476935172,0.9263626138002264,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,1.0009520526644864,1.1852033224759322,1.0,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,1.1528719022277603,1.1667096089979483,0.9843961680436822,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,1.3084550961895578,1.0534068532442145,0.8887984308410559,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,1.4648588163108753,1.1251238596827862,0.9493087290139908,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,1.6192491296723492,1.0817365642439773,0.9127012587040263,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,1.7711731370406092,1.117722988997235,0.9430643399330604,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,1.9265005651064349,1.0478512545870384,0.8841109662079243,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,2.084492645106916,1.0078990018982628,0.8504017688650464,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,2.238823253518858,0.9537434100257126,0.8047086874792997,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,2.3911642338896653,0.950656879995729,0.8021044676197606,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,2.545347220272854,0.9991792324751645,0.8430445760039242,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,2.6996693998622647,0.9261693305302764,0.7814434139413948,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,2.8539921183816865,0.9476552709492464,0.7995718987435511,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,3.008987195199999,0.8788198247916063,0.741492879850961,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,3.1649476265638485,0.8805479547913536,0.7429509672246425,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,3.319245217856364,0.8641663207538925,0.7291291750251072,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,3.47269647362608,0.8664207784501371,0.7310313445967677,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,3.6275720670442766,0.8383953633670891,0.7073852624844581,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,3.78126977792015,0.8342119482719915,0.7038555600142032,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,3.93577599588123,0.8361717176000665,0.7055090900802352,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,4.092281694971393,0.8341388896688603,0.7037939177611435,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,4.247556573644299,0.8331165245383669,0.702931310383063,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,4.401075729665043,0.8312885631359904,0.7013889915524358,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,4.555284855166064,0.8418657868071845,0.7103133874519494,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,4.708449919383854,0.8666915139509128,0.7312597741798118,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,4.863026676803052,0.8736990397457035,0.7371722835880302,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,5.018738385831758,0.895721173448713,0.7557531745502699,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,5.173605765626775,0.920868580389419,0.7769709744533044,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,5.327677166038745,0.9429480626305524,0.7956002525041022,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,5.481958370598517,0.9776279794897201,0.8248609845671208,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,5.636653344830873,1.0184761497055996,0.85932610075541,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,5.79046001153856,1.0452544521950826,0.8819199477196104,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,5.945030593956437,1.09141024339506,0.9208633005812581,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,6.099730315926976,1.0963754796947542,0.92505265459802,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
300000.0,6.179155212722517,0.9801419639299331,0.8269821264779966,0.04,0.05,0.05,1.0,0.001,500.0,500000.0,5
