timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal
4.35e7,0.09731560440562248,14.839468145330395,0.4191299753540779,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,0.14312573712117277,35.40540886581572,1.0,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,0.23841581153825495,30.96516068717112,0.8745884224788121,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,0.33485311057702105,16.185554109010674,0.4571491935131411,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,0.4343952690516561,10.335051032442049,0.29190599299703734,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,0.5358233857687565,6.584775862955517,0.1859822008527399,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,0.6339063392655175,4.980974064497447,0.14068398654496622,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,0.7277837832062057,3.7230331965417256,0.10515436244930225,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,0.8259376414919914,3.0101474099550076,0.08501942235332678,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,0.9243210918481215,2.9892984875212174,0.08443055971618549,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,1.022182801803496,2.547616499822169,0.07195557349662239,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,1.1173471327217428,2.346294048558368,0.06626936741362527,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,1.213688464411393,2.1409135824706245,0.06046854565596326,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,1.313273450527723,1.9128070642460402,0.054025843099156375,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,1.4107318949698813,1.7835878917438996,0.050376141637103695,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,1.506640864861161,1.7776554304714942,0.050208583587007756,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,1.6034451523315203,1.6274419574599743,0.04596591338989693,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,1.7014414145142422,1.5001751621585089,0.04237135540064171,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,1.7987265555996903,1.4692042756215524,0.04149660525570385,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,1.8957888248253194,1.4418973359134384,0.040725340621771626,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,1.9943789369970213,1.3516482002820598,0.038176319482842905,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,2.0914301624586282,1.28493618760712,0.03629208724793851,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,2.187082507395002,1.206017883424165,0.03406309719497654,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,2.2849417235593523,1.133235918315389,0.032007423572208475,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,2.382710404909207,1.0965057449211857,0.030970006562468285,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,2.4799731415277058,1.0428256373959237,0.029453851001923673,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,2.5776972027758394,1.0145248990014413,0.028654517247532065,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,2.67554753703456,0.9985404778084828,0.02820304890681784,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,2.772503006914722,0.9293661592409315,0.02624927063441552,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,2.8692806372181447,0.9303232361766409,0.026276302575759188,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,2.96593377447594,0.8802587761395965,0.024862268346503836,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,3.0635297477775563,0.8645459550938974,0.024418471154237262,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,3.1614185011165015,0.8372952371421585,0.02364879446288715,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,3.2589325618292024,0.8020023882140581,0.022651973636389763,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,3.3562862594722063,0.7871128443168544,0.02223142930787673,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,3.453757438034321,0.7705226919477217,0.021762852531034292,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,3.551161144114627,0.7495829362523844,0.02117142437454279,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,3.6478625652505854,0.739387848585829,0.0208834715449287,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,3.7451440320694656,0.7127813411104117,0.020131990109528413,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,3.8426210059407913,0.6937471676336421,0.019594383735629217,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,3.9395947445724304,0.6810431147640096,0.019235567010258806,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,4.037095535211362,0.6843156013212227,0.019327996010856306,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,4.134549388617974,0.6597962937876922,0.018635466018434604,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,4.232215552445368,0.6542172907554943,0.01847789113903293,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,4.330103843164631,0.6547273424626843,0.018492297178209684,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,4.427361922080238,0.6480535835221309,0.018303801715105546,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,4.524137645996126,0.6398831663296064,0.018073034229168866,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,4.621068005352794,0.6354743602848492,0.017948510711830984,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,4.718398679508387,0.6315856678845486,0.017838677425763352,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,4.815930194097771,0.6402642316870522,0.018083797142792884,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,4.913344955822582,0.6391989990436121,0.018053710422216453,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,5.010894737573997,0.6549572495185189,0.018498790735640584,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,5.108560944675358,0.6734305544132316,0.01902055578472462,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,5.2060950464250615,0.6938337687065825,0.01959682971989305,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,5.302964777800892,0.7088347865323479,0.02002052254837071,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,5.400192108614449,0.7500680069602403,0.021185124843578308,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,5.497500456516036,0.7943712738362972,0.022436438365869872,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,5.594369116860314,0.8568601297343819,0.024201390611864645,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,5.691732337002324,0.9122455841178874,0.025765712453010806,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,5.789059600838352,0.973901303012236,0.027507133350818256,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,5.886718625195528,1.067092134438337,0.030139240546057502,0.01,0.05,0.05,1.0,0.001,500000,500000000
4.35e7,5.936251868742972,1.1654330214252966,0.03291680731162333,0.01,0.05,0.05,1.0,0.001,500000,500000000
