TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,tstep,N_heat,N_isothermal,fit_ep_parameters,fit_ep_margin_error,fit_ep_standard_error
1000.0,0.5573558999999999,0.08126245000000001,-0.08860356507609582,0.0,15269.439999999999,12957.68,1.8211030000000001,14810.24,14812.069999999998,-0.0013676790000000001,0.41061139999999996,0.5745124,0.9851241000000002,10,0.01,0.05,0.05,1.0,0.001,500000,9500000,"[97575.53410864496, 0.4940602216996249, -5302.583330041531]","[594.0599828371431, 0.0010666262568023045, 4.33132562032234]","[303.058768676343, 0.0005441377122905445, 2.209618973091203]"
2000.0,0.2279928,0.0063367037267,-0.0611584,0.0,5629.949,5300.492,0.7051898000000001,32113.1,32113.8,0.0017460529999999998,0.12079730000000002,0.24242850000000002,0.3632259,10,0.01,0.05,0.05,1.0,0.001,500000,9500000,"[97575.53410864496, 0.4940602216996249, -5302.583330041531]","[594.0599828371431, 0.0010666262568023045, 4.33132562032234]","[303.058768676343, 0.0005441377122905445, 2.209618973091203]"
3000.0,0.08792280999999999,2.038410999e-5,-0.09046137200000001,0.0,2143.78,2044.0729999999999,0.2701839999999999,38859.04000000001,38859.299999999996,-0.000591259,0.0497065,0.0886078,0.1383143,10,0.01,0.05,0.05,1.0,0.001,500000,9500000,"[97575.53410864496, 0.4940602216996249, -5302.583330041531]","[594.0599828371431, 0.0010666262568023045, 4.33132562032234]","[303.058768676343, 0.0005441377122905445, 2.209618973091203]"
4000.0,0.03359085,2.1882635999999998e-5,-0.0973465,0.0,792.0916,780.9367,0.10148570000000001,41474.92,41475.020000000004,0.0002631534,0.017326590000000003,0.03378236,0.051108959999999995,10,0.01,0.05,0.05,1.0,0.001,500000,9500000,"[97575.53410864496, 0.4940602216996249, -5302.583330041531]","[594.0599828371431, 0.0010666262568023045, 4.33132562032234]","[303.058768676343, 0.0005441377122905445, 2.209618973091203]"
5000.0,0.012705079999999999,0.00011943959,-0.0991178,0.0,295.6209,295.37430000000006,0.03812871999999999,42457.310000000005,42457.38,7.491024000000002e-5,0.006279941,0.012798760000000001,0.0190787,10,0.01,0.05,0.05,1.0,0.001,500000,9500000,"[97575.53410864496, 0.4940602216996249, -5302.583330041531]","[594.0599828371431, 0.0010666262568023045, 4.33132562032234]","[303.058768676343, 0.0005441377122905445, 2.209618973091203]"
6000.0,0.004998116,0.0001393707621,-0.099561,0.0,112.75319999999999,116.19859999999998,0.01477108,42819.520000000004,42819.520000000004,-0.00011627530000000001,0.002455554,0.004825262,0.007280816,10,0.01,0.05,0.05,1.0,0.001,500000,9500000,"[97575.53410864496, 0.4940602216996249, -5302.583330041531]","[594.0599828371431, 0.0010666262568023045, 4.33132562032234]","[303.058768676343, 0.0005441377122905445, 2.209618973091203]"
7000.0,0.002276828,0.000209142081,-0.0998409,0.0,44.69135,52.93282000000001,0.006298334,42950.89,42950.91,1.9084042000000002e-6,0.0009796706,0.0019100700000000003,0.00288974,10,0.01,0.05,0.05,1.0,0.001,500000,9500000,"[97575.53410864496, 0.4940602216996249, -5302.583330041531]","[594.0599828371431, 0.0010666262568023045, 4.33132562032234]","[303.058768676343, 0.0005441377122905445, 2.209618973091203]"
8000.0,0.0013001040000000003,0.00021088639000000001,-0.0999291,0.0,21.246180000000003,30.22549,0.00332075,42997.07000000001,42997.08,5.7735710000000004e-5,0.0005128278,0.000864326,0.001377152,10,0.01,0.05,0.05,1.0,0.001,500000,9500000,"[97575.53410864496, 0.4940602216996249, -5302.583330041531]","[594.0599828371431, 0.0010666262568023045, 4.33132562032234]","[303.058768676343, 0.0005441377122905445, 2.209618973091203]"
9000.0,0.0010062670000000001,0.00019620448600000002,-0.0999128,0.0,13.154059999999998,23.394200000000005,0.002357951,43012.030000000006,43012.030000000006,1.8240230000000004e-5,0.0003621069,0.0004929746000000001,0.0008550817000000001,10,0.01,0.05,0.05,1.0,0.001,500000,9500000,"[97575.53410864496, 0.4940602216996249, -5302.583330041531]","[594.0599828371431, 0.0010666262568023045, 4.33132562032234]","[303.058768676343, 0.0005441377122905445, 2.209618973091203]"
10000.0,0.0009606906,0.00043790729999999996,-0.099909,0.0,10.908141,22.334609999999998,0.002144693,43015.32,43015.32,6.36724e-7,0.0003294791,0.0003806895,0.0007101682,10,0.01,0.05,0.05,1.0,0.001,500000,9500000,"[97575.53410864496, 0.4940602216996249, -5302.583330041531]","[594.0599828371431, 0.0010666262568023045, 4.33132562032234]","[303.058768676343, 0.0005441377122905445, 2.209618973091203]"
