poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
16.0,1019.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.2,992.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.4,1022.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.6,1061.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.8,1122.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
17.0,1073.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
17.2,1157.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
17.4,1130.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
17.6,1180.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
17.8,1206.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
18.0,1233.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
18.2,1300.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
18.4,1318.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
18.6,1328.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
18.8,1350.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
19.0,1307.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
19.2,1400.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
19.4,1418.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
19.6,1473.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
19.8,1446.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
20.0,1503.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
20.2,1497.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
20.4,1396.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
20.6,1505.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
20.8,1459.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
21.0,1408.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
21.2,1350.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
21.4,1461.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
21.6,1345.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
21.8,1386.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.0,1298.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.2,1356.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.4,1378.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.6,1332.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.8,1202.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.0,1274.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.2,1167.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.4,1116.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.6,1168.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.8,1119.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.0,1173.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.2,1038.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.4,1037.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.6,1007.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.8,951.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.0,965.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.2,935.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.4,918.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.6,871.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.8,858.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.0,812.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.2,789.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.4,714.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.6,731.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.8,704.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,10000000
