poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
0.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
0.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
0.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
0.6,2.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
0.8,3.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
1.0,3.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
1.2,2.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
1.4,6.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
1.6,16.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
1.8,18.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
2.0,22.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
2.2,34.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
2.4,28.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
2.6,42.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
2.8,49.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
3.0,58.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
3.2,48.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
3.4,57.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
3.6,85.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
3.8,73.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
4.0,89.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
4.2,100.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
4.4,116.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
4.6,106.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
4.8,112.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
5.0,147.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
5.2,139.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
5.4,158.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
5.6,204.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
5.8,141.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
6.0,206.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
6.2,199.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
6.4,235.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
6.6,230.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
6.8,253.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
7.0,237.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
7.2,263.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
7.4,280.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
7.6,322.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
7.8,325.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
8.0,319.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
8.2,343.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
8.4,364.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
8.6,377.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
8.8,406.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
9.0,446.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
9.2,444.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
9.4,466.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
9.6,484.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
9.8,487.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
10.0,475.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
10.2,537.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
10.4,532.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
10.6,536.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
10.8,595.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
11.0,650.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
11.2,633.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
11.4,615.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
11.6,730.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
11.8,739.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
12.0,724.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
12.2,738.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
12.4,800.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
12.6,823.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
12.8,805.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
13.0,844.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
13.2,857.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
13.4,874.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
13.6,950.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
13.8,951.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
14.0,935.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
14.2,1034.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
14.4,1079.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
14.6,1011.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
14.8,1082.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
15.0,1131.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
15.2,1115.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
15.4,1151.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
15.6,1130.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
15.8,1260.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
16.0,1213.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
16.2,1297.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
16.4,1363.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
16.6,1327.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
16.8,1387.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
17.0,1426.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,0
