poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
0.0,0.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
0.2,2.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
0.4,1.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
0.6,4.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
0.8,7.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.0,8.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.2,10.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.4,10.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.6,14.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.8,18.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.0,8.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.2,16.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.4,18.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.6,24.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.8,26.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.0,25.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.2,18.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.4,32.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.6,30.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.8,38.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.0,52.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.2,40.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.4,40.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.6,62.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.8,38.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.0,57.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.2,58.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.4,67.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.6,75.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.8,75.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.0,73.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.2,88.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.4,82.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.6,89.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.8,92.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.0,92.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.2,107.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.4,123.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.6,114.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.8,115.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.0,133.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.2,161.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.4,164.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.6,148.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.8,151.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.0,170.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.2,173.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.4,171.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.6,181.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.8,205.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.0,217.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.2,229.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.4,220.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.6,240.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.8,259.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.0,234.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.2,258.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.4,279.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.6,293.0,0.02,0.05,0.05,1.0,500000.0,9.5e6,10000000
