poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
0.0,0.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
0.2,0.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
0.4,0.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
0.6,0.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
0.8,1.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
1.0,2.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
1.2,5.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
1.4,6.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
1.6,14.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
1.8,18.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
2.0,18.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
2.2,13.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
2.4,16.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
2.6,26.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
2.8,18.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
3.0,37.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
3.2,34.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
3.4,32.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
3.6,39.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
3.8,40.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
4.0,54.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
4.2,64.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
4.4,73.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
4.6,85.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
4.8,79.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
5.0,90.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
5.2,86.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
5.4,83.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
5.6,102.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
5.8,100.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
6.0,115.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
6.2,114.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
6.4,132.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
6.6,126.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
6.8,139.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
7.0,163.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
7.2,163.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
7.4,163.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
7.6,183.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
7.8,196.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
8.0,190.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
8.2,219.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
8.4,226.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
8.6,200.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
8.8,224.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
9.0,243.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
9.2,265.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
9.4,283.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
9.6,284.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
9.8,306.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
10.0,291.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
10.2,324.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
10.4,316.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
10.6,324.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
10.8,368.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
11.0,395.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
11.2,397.0,0.03,0.05,0.05,1.0,500000.0,9.5e6,0
