file0,file1,file2,file3,phi,CL-Con,Npart,Temperature,Nexp,damp,time-step,N_heat,N_isot,N_CL,N_MO,L,save-dump,save-fix,save-stress,seed1,seed2,seed3,dir,PARENT_DIR,id
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,1.0,1.0,0.001,500000.0,9.5e7,250.0,4750.0,18.878955,100000.0,100000.0,100000.0,67.0,47.0,114.0,2026-04-22-103630_1,/run/media/franvt/rogelio/DinMol/gel-batch-2/data,0.050.050.055000.01.00.001
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,2.0,1.0,0.001,500000.0,9.5e7,250.0,4750.0,32.282517,100000.0,100000.0,100000.0,68.0,48.0,116.0,2026-04-22-103630_2,/run/media/franvt/rogelio/DinMol/gel-batch-2/data,0.010.050.055000.01.00.001
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,3.0,1.0,0.001,500000.0,9.5e7,250.0,4750.0,32.282517,100000.0,100000.0,100000.0,105.0,68.0,173.0,2026-04-26-184755_3,/run/media/franvt/rogelio/DinMol/gel-batch-2/data,0.010.050.055000.01.00.001
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.01,0.05,5000.0,0.05,4.0,1.0,0.001,500000.0,9.5e7,250.0,4750.0,32.282517,100000.0,100000.0,100000.0,106.0,69.0,175.0,2026-04-26-184755_4,/run/media/franvt/rogelio/DinMol/gel-batch-2/data,0.010.050.055000.01.00.001
