file0,file1,file2,file3,phi,CL-Con,Npart,Temperature,Nexp,damp,time-step,N_heat,N_isot,N_CL,N_MO,L,save-dump,save-fix,save-stress,seed1,seed2,seed3,dir,PARENT_DIR,id
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,7.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,78.0,71.0,149.0,2026-04-08-125219_7,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00200550000005100001500000095e625004750025622652
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,8.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,65.0,30.0,95.0,2026-04-08-160651_8,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00200550000005100001500000095e625004750025622652
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,9.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,66.0,49.0,115.0,2026-04-08-192136_9,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00200550000005100001500000095e625004750025622652
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.02,0.05,5000.0,0.05,10.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,25.622652,1000.0,100000.0,100000.0,54.0,66.0,120.0,2026-04-08-223410_10,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00200550000005100001500000095e625004750025622652
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,1.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,63.0,49.0,112.0,2026-04-09-014715_1,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00300550000005100001500000095e625004750022383449
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,2.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,14.0,17.0,31.0,2026-04-09-051002_2,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00300550000005100001500000095e625004750022383449
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,3.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,80.0,,,2026-04-09-083443_3,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00300550000005100001500000095e625004750022383449
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,4.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,54.0,17.0,71.0,2026-04-09-120149_4,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00300550000005100001500000095e625004750022383449
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,5.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,65.0,51.0,116.0,2026-04-09-153129_5,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00300550000005100001500000095e625004750022383449
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,6.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,81.0,79.0,160.0,2026-04-09-185520_6,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00300550000005100001500000095e625004750022383449
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,7.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,59.0,49.0,108.0,2026-04-09-222032_7,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00300550000005100001500000095e625004750022383449
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,8.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,99.0,51.0,150.0,2026-04-10-014249_8,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00300550000005100001500000095e625004750022383449
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,9.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,71.0,27.0,98.0,2026-04-10-051349_9,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00300550000005100001500000095e625004750022383449
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.03,0.05,5000.0,0.05,10.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,22.383449,1000.0,100000.0,100000.0,49.0,,,2026-04-10-083603_10,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00300550000005100001500000095e625004750022383449
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.04,0.05,5000.0,0.05,1.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,20.336713,1000.0,100000.0,100000.0,53.0,16.0,69.0,2026-04-10-120349_1,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00400550000005100001500000095e625004750020336713
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.04,0.05,5000.0,0.05,2.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,20.336713,1000.0,100000.0,100000.0,,52.0,52.0,2026-04-10-153508_2,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00400550000005100001500000095e625004750020336713
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.04,0.05,5000.0,0.05,3.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,20.336713,1000.0,100000.0,100000.0,,,,2026-04-10-190800_3,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00400550000005100001500000095e625004750020336713
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.04,0.05,5000.0,0.05,4.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,20.336713,1000.0,100000.0,100000.0,83.0,70.0,153.0,2026-04-10-224435_4,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00400550000005100001500000095e625004750020336713
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.04,0.05,5000.0,0.05,5.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,20.336713,1000.0,100000.0,100000.0,33.0,34.0,67.0,2026-04-11-022701_5,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00400550000005100001500000095e625004750020336713
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.04,0.05,5000.0,0.05,6.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,20.336713,1000.0,100000.0,100000.0,,,,2026-04-11-060817_6,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00400550000005100001500000095e625004750020336713
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.04,0.05,5000.0,0.05,7.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,20.336713,1000.0,100000.0,100000.0,101.0,,,2026-04-11-094846_7,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00400550000005100001500000095e625004750020336713
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.04,0.05,5000.0,0.05,8.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,20.336713,1000.0,100000.0,100000.0,84.0,44.0,128.0,2026-04-11-132353_8,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00400550000005100001500000095e625004750020336713
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.04,0.05,5000.0,0.05,9.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,20.336713,1000.0,100000.0,100000.0,,,,2026-04-11-170921_9,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00400550000005100001500000095e625004750020336713
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.04,0.05,5000.0,0.05,10.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,20.336713,1000.0,100000.0,100000.0,76.0,81.0,157.0,2026-04-11-205115_10,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00400550000005100001500000095e625004750020336713
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,1.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,65.0,27.0,92.0,2026-04-12-002638_1,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00500550000005100001500000095e625004750018878955
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,2.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,16.0,17.0,33.0,2026-04-12-041103_2,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00500550000005100001500000095e625004750018878955
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,3.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,20.0,,,2026-04-12-080017_3,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00500550000005100001500000095e625004750018878955
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,4.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,72.0,63.0,135.0,2026-04-12-114820_4,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00500550000005100001500000095e625004750018878955
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,5.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,84.0,57.0,141.0,2026-04-12-153742_5,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00500550000005100001500000095e625004750018878955
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,6.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,81.0,51.0,132.0,2026-04-12-192649_6,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00500550000005100001500000095e625004750018878955
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,7.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,65.0,52.0,117.0,2026-04-12-232236_7,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00500550000005100001500000095e625004750018878955
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,8.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,25.0,27.0,52.0,2026-04-13-031601_8,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00500550000005100001500000095e625004750018878955
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,9.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,28.0,20.0,48.0,2026-04-13-070415_9,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00500550000005100001500000095e625004750018878955
system_assembly.fixf,stress_assembly.fixf,traj_assembly.*.dumpf,data.hydrogel,0.05,0.05,5000.0,0.05,10.0,1.0,0.001,500000.0,9.5e6,250.0,4750.0,18.878955,1000.0,100000.0,100000.0,103.0,76.0,179.0,2026-04-13-105637_10,/run/media/franvt/rogelio/DinMol/gel-batch-1/data/,id00500550000005100001500000095e625004750018878955
