timeStep,qmean,Sqmean,Sqmeannorm
3.333e6,0.16640712653797785,2.051134966464667,0.6015740092583801
3.333e6,0.26644652718160705,2.8519664782843397,0.8607923897037117
3.333e6,0.4146184035584643,2.8648047191184123,0.8620325192543354
3.333e6,0.5721939835905296,2.967811488035644,0.8931197888713047
3.333e6,0.7372391047304465,2.3983844929298788,0.7251038296393182
3.333e6,0.9110485184054838,1.974053900349325,0.5975322652501515
3.333e6,1.075891060681915,1.8023857537665253,0.5433477813284455
3.333e6,1.2405125526094756,1.6230163379414535,0.4898786324987728
3.333e6,1.4100753393638379,1.516027820525283,0.4581144603178589
3.333e6,1.5781649628537946,1.4224261708209627,0.42950426028779737
3.333e6,1.7446683485012755,1.2997282023604337,0.39253019566352354
3.333e6,1.9084264728269837,1.235355903094895,0.3730910987369227
3.333e6,2.073677887387049,1.1732600140629112,0.3546497189773657
3.333e6,2.2433442279603497,1.1027859385578014,0.3327271938142415
3.333e6,2.410935901692485,1.0468474436485087,0.3159088176016553
3.333e6,2.5759721587773035,0.9962708450864775,0.3013449759096699
3.333e6,2.7408751778542473,0.9436057723854286,0.2850480028727633
3.333e6,2.9078190808239657,0.8963638273390402,0.270818101302733
3.333e6,3.075096969217735,0.8607087210832847,0.26005517290414504
3.333e6,3.2415286478287078,0.8157794559628135,0.24631012274983838
3.333e6,3.4093960864458897,0.7851174463970219,0.23676841725191644
3.333e6,3.57536079712662,0.7526409718021705,0.22731426796171136
3.333e6,3.739948284783737,0.727294409495232,0.21947392337204744
3.333e6,3.9073893900820065,0.7078232808683337,0.21376247999453488
3.333e6,4.074087291048524,0.6891913627678934,0.20838238969258277
3.333e6,4.239973016158672,0.6620682483026368,0.19996014236966808
3.333e6,4.407323146499056,0.6545220587811623,0.1976522353143896
3.333e6,4.574671793958157,0.6560983337983946,0.19815075081443267
3.333e6,4.740685206894386,0.6489022376605661,0.19608891332449624
3.333e6,4.9069750068880795,0.6586460401778943,0.1989967362930254
3.333e6,5.072444808144045,0.6791240533495239,0.205065339655024
3.333e6,5.238882741566024,0.713693246631518,0.21578668919578675
3.333e6,5.405923118956908,0.7612649216013059,0.22979672887030453
3.333e6,5.572671841390216,0.848098119890054,0.25607449891068573
3.333e6,5.739172713052713,0.9581795458902655,0.2893378778611675
3.333e6,5.905577090220496,1.0853206945632734,0.32807228499809715
3.333e6,5.990656555367199,1.12831622041413,0.33906275479210274
