mag,Sq0,Sq10000000
1.0,0.8532762376092567,3.2975902506796277
2.0,0.9525991163542321,6.414946816989577
3.0,0.5652641361186909,7.159563499999013
4.0,0.727301961634194,7.559288185225592
5.0,0.8152680910729775,9.01329809078376
6.0,0.9151474691667465,9.373195492184113
8.0,0.9217060986952494,11.548969690783368
9.0,0.7452211400118366,9.403725889323281
10.0,0.8454945025753388,10.250190183778857
11.0,0.8640977216617667,11.21843134207967
12.0,1.0320736738859788,7.696563108572575
13.0,0.8071915010482529,10.112508755895254
14.0,0.7852539469348991,9.528066034433223
16.0,0.9480207478233283,9.816767349621669
17.0,0.8722287770030902,8.458678437187237
18.0,0.8072233985608481,8.765485232586075
19.0,0.9533646032034748,8.55963708745521
20.0,0.8737925501463242,6.291853665938071
21.0,0.7399016679226481,7.219786470509432
22.0,0.8308878015232822,7.7553309259482575
24.0,0.8175017989589571,6.757063031275022
25.0,0.7197852146525243,7.740291529594244
26.0,0.9030769188043755,7.078402808139565
27.0,0.9519555698768934,7.202341173654401
29.0,0.7097877160657969,6.941184682748116
32.0,0.9919064646788825,5.151441693349602
33.0,0.8621822108004517,5.733576805355325
34.0,0.8994981949345285,5.44915231000523
36.0,0.8707905282488085,5.293782515426266
41.0,0.934194396145467,5.9572898957307
48.0,0.8014053718610418,3.9904266319510318
