TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,id
8.2e6,0.0500138,77.05225,-5269.295,0.0,-4632.4,1162.7450000000001,-0.2238486,2754.572,2754.347,4.0179027e-5,0.01875006,0.017368859999999996,0.0361189,0.030.050.055000.01.00.001
8.3e6,0.04997716000000001,77.21496,-5273.404,0.0,-4636.642,1161.892,-0.22417750000000006,2770.084,2769.8600000000006,4.2854475000000006e-5,0.018744099999999996,0.017355649999999997,0.03609975,0.030.050.055000.01.00.001
8.4e6,0.050012539999999994,77.29389,-5277.111,0.0,-4639.879999999999,1162.716,-0.22433310000000004,2782.9969999999994,2782.773,2.0097753e-5,0.01875686,0.01736813,0.036125,0.030.050.055000.01.00.001
8.5e6,0.05000888999999999,77.61982,-5280.023,0.0,-4642.339,1162.631,-0.2244974,2796.302,2796.077,7.5808241e-5,0.018760170000000003,0.01737298,0.036133149999999996,0.030.050.055000.01.00.001
8.6e6,0.05002474,77.54483,-5282.536,0.0,-4644.54,1163.0,-0.2246156,2809.2339999999995,2809.0080000000003,3.9255723999999997e-5,0.01877054,0.01738753,0.03615805,0.030.050.055000.01.00.001
8.7e6,0.05002173,77.80331,-5285.465999999999,0.0,-4647.326999999999,1162.9309999999998,-0.22479989999999997,2822.9139999999998,2822.691,7.645122999999999e-5,0.0187753,0.017375239999999997,0.03615055,0.030.050.055000.01.00.001
8.8e6,0.05000776999999999,77.63015000000001,-5288.025,0.0,-4650.182000000001,1162.6070000000002,-0.2250049,2837.165,2836.94,3.596207e-5,0.018769479999999998,0.01737312,0.03614262,0.030.050.055000.01.00.001
8.9e6,0.049989860000000004,77.67379000000001,-5291.204,0.0,-4653.527,1162.1889999999999,-0.2252475,2852.609,2852.3810000000003,1.8156289999999997e-5,0.018766469999999997,0.01736288,0.03612932,0.030.050.055000.01.00.001
9.0e6,0.04999464,77.79501000000002,-5294.008,0.0,-4656.236,1162.301,-0.2254153,2865.89,2865.6639999999998,2.759693e-5,0.01876541,0.017362270000000003,0.036127690000000004,0.030.050.055000.01.00.001
9.1e6,0.04999656,77.83276,-5296.996000000001,0.0,-4659.0,1162.346,-0.22559060000000003,2879.532,2879.3060000000005,3.1005850000000004e-5,0.018765160000000003,0.017374450000000003,0.03613959,0.030.050.055000.01.00.001
9.2e6,0.050007220000000005,78.04708,-5299.694,0.0,-4661.441000000001,1162.592,-0.22573210000000002,2892.489,2892.2649999999994,5.0054984e-5,0.01877527,0.0173671,0.03614239,0.030.050.055000.01.00.001
9.3e6,0.05000959000000001,77.92156000000001,-5303.087,0.0,-4664.896,1162.6480000000001,-0.22595150000000003,2906.403,2906.176,2.1955809999999998e-5,0.01877668,0.01736977,0.03614648,0.030.050.055000.01.00.001
9.4e6,0.04999399,78.13811000000001,-5305.964,0.0,-4667.559,1162.285,-0.22614680000000004,2920.5919999999996,2920.364,4.4784072999999996e-5,0.018780040000000005,0.017366269999999996,0.03614632,0.030.050.055000.01.00.001
9.5e6,0.049999260000000004,78.16196,-5309.072999999999,0.0,-4670.399,1162.409,-0.22632190000000002,2934.549,2934.325,2.817574e-5,0.01878396,0.01737828,0.036162230000000004,0.030.050.055000.01.00.001
9.6e6,0.04999819,78.24657,-5312.198,0.0,-4673.628,1162.383,-0.22653189999999998,2949.0829999999996,2948.8559999999998,2.5262217999999996e-5,0.018786479999999998,0.0173633,0.03614979,0.030.050.055000.01.00.001
9.7e6,0.0500069,78.29004,-5315.461,0.0,-4676.585000000001,1162.5859999999998,-0.22670980000000002,2963.0480000000002,2962.8199999999997,1.3097670000000001e-5,0.01879486,0.017371980000000002,0.03616684,0.030.050.055000.01.00.001
9.8e6,0.0500138,78.34038000000001,-5317.196999999999,0.0,-4678.179000000001,1162.7450000000001,-0.2268021,2975.8630000000003,2975.6369999999997,1.2320127999999999e-5,0.01880399,0.01736877,0.03617274,0.030.050.055000.01.00.001
9.9e6,0.04999888,78.48917000000002,-5319.242,0.0,-4680.2570000000005,1162.397,-0.2269587,2989.882,2989.6549999999997,4.6739931699999995e-5,0.01879286,0.01736808,0.03616097,0.030.050.055000.01.00.001
1.0e7,0.04998591,78.49229,-5321.784,0.0,-4682.927000000001,1162.097,-0.2271502,3004.3959999999997,3004.17,1.9178919000000006e-5,0.01879061,0.01736196,0.036152540000000004,0.030.050.055000.01.00.001
