poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
40.0,176.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
40.5,155.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
41.0,148.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
41.5,135.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
42.0,126.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
42.5,121.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
43.0,117.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
43.5,87.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
44.0,95.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
44.5,98.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
45.0,53.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
45.5,57.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
46.0,49.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
46.5,37.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
47.0,30.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
47.5,33.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
48.0,32.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
48.5,25.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
49.0,19.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
49.5,20.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
50.0,12.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
50.5,16.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
51.0,15.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
51.5,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
52.0,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
52.5,5.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
53.0,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
53.5,3.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
54.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
54.5,2.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
55.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
55.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
