poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot
0.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
0.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
0.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
0.6,1.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
0.8,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
1.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
1.2,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
1.4,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
1.6,1.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
1.8,2.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
2.0,5.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
2.2,2.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
2.4,3.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
2.6,4.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
2.8,6.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
3.0,5.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
3.2,4.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
3.4,6.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
3.6,7.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
3.8,7.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
4.0,4.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
4.2,7.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
4.4,9.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
4.6,6.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
4.8,10.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
5.0,10.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
5.2,17.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
5.4,13.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
5.6,13.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
5.8,18.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
6.0,14.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
6.2,24.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
6.4,18.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
6.6,19.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
6.8,29.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
7.0,25.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
7.2,24.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
7.4,33.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
7.6,29.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
7.8,27.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
8.0,37.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
8.2,31.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
8.4,41.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
8.6,41.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
8.8,30.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
9.0,35.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
9.2,35.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
9.4,49.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
9.6,44.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
9.8,49.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
10.0,54.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
10.2,53.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
10.4,51.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
10.6,46.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
10.8,56.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
11.0,54.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
11.2,72.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
11.4,53.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
11.6,63.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
11.8,67.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
12.0,87.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
12.2,72.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
12.4,70.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
12.6,67.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
12.8,64.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
13.0,86.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
13.2,90.0,0.05,0.05,0.05,1.0,500000.0,9.5e6
