poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot
18.0,29.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
18.2,35.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
18.4,30.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
18.6,39.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
18.8,37.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
19.0,37.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
19.2,36.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
19.4,34.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
19.6,29.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
19.8,40.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
20.0,40.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
20.2,39.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
20.4,41.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
20.6,29.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
20.8,28.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
21.0,42.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
21.2,36.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
21.4,38.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
21.6,46.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
21.8,45.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
22.0,54.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
22.2,44.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
22.4,37.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
22.6,41.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
22.8,49.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
23.0,43.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
23.2,42.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
23.4,46.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
23.6,51.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
23.8,47.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
24.0,47.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
24.2,43.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
24.4,49.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
24.6,72.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
24.8,51.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
25.0,60.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
25.2,54.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
25.4,52.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
25.6,71.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
25.8,69.0,0.01,0.05,0.05,1.0,500000.0,9.5e6
