timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,CL-Con,Temperature,damp,N_heat,N_isot
0.0,0.14035337688976313,0.05329628092571605,0.00010596289751686472,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,0.23118883655542335,0.4048115212233,0.0008032194062328744,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,0.36865297629669136,1.22918602003608,0.002441826990915048,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,0.49578181434181856,1.7040667721552487,0.0033836088577803626,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,0.6316992266781518,2.967221251820817,0.005894353309634941,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,0.7765730964377991,5.578673005796032,0.011078637959066915,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,0.9118261737934198,6.056449935589241,0.012027474258862098,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,1.0467729057487014,9.7655062909438,0.01939155665965742,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,1.1862805975307404,12.459410676125065,0.024739052597104103,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,1.3291722231417957,17.179557998006153,0.0341150946503695,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,1.4707713835122431,21.615564193627822,0.04292239509053771,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,1.6084526684259386,25.498424604087873,0.050634767246220826,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,1.7510464099569683,34.373399808298714,0.06826905637901731,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,1.8948722009262244,40.17749385834531,0.07979126488109037,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,2.0331158518868166,45.37716727847751,0.09011948102908937,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,2.1717551154026,56.59706589303348,0.11239899127885737,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,2.3115065744531664,62.357453749124474,0.12381626026511872,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,2.4517589855222015,77.47649161783127,0.15383981171845665,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,2.5928660782449326,86.28350447892636,0.17133161776846836,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,2.733969286639893,101.95358200217763,0.20247346218492185,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,2.874637732216465,114.45392512373216,0.22729071541395224,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,3.0146584286898803,127.41104784113998,0.25301101216010297,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,3.154129197473871,143.28652871594295,0.28455939100845085,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,3.2951436030870127,161.12296053904117,0.3199460940902868,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,3.435422222855883,171.61441343594996,0.3408014995691503,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,3.5758965302390724,195.83318044962374,0.38889709986381577,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,3.7182917976163745,208.67609427727652,0.4143869057276328,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,3.8592771901868836,231.7619752829155,0.4602383302317422,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,3.998671825034765,240.7152903828142,0.4780497581855623,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,4.138328464880112,267.39383783461363,0.5310073769163843,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,4.277650979489294,274.9889131684377,0.5460826707186854,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,4.418480022919902,307.21987110845686,0.6100749362197044,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,4.559417152720413,317.7601421151274,0.6309981298428864,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,4.700072919069511,340.61767721132196,0.6764101345992266,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,4.840476814396357,360.11681491188153,0.7151606530430229,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,4.980787286520819,379.7096437334761,0.7540195524919453,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,5.121288671183869,394.9713498327084,0.784389668861763,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,5.2610479620771216,412.5992230576636,0.8193772207321572,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,5.401531308976948,436.3103114010957,0.8663935828474312,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,5.542043472639002,459.9922907863569,0.913488554053934,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,5.681874099055399,476.54125680178583,0.9463342161886337,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,5.822277572553842,503.5985444222521,1.0,0.03,0.05,0.05,1.0,500000.0,9.5e6
0.0,5.894841829370074,5.763911576119094,0.0114500183207142,0.03,0.05,0.05,1.0,500000.0,9.5e6
