poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
0.0,0.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
0.5,1.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.0,1.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
1.5,5.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.0,6.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
2.5,13.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.0,14.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
3.5,14.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.0,20.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
4.5,20.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.0,32.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
5.5,27.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.0,38.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
6.5,43.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.0,62.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
7.5,72.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.0,79.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
8.5,100.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.0,95.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
9.5,113.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.0,124.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
10.5,107.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.0,134.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
11.5,155.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
12.0,158.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
12.5,175.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
13.0,188.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
13.5,208.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
14.0,239.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
14.5,229.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
15.0,257.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
15.5,288.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.0,280.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
16.5,362.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
17.0,340.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
17.5,357.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
18.0,373.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
18.5,433.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
19.0,464.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
19.5,421.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
20.0,356.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
20.5,364.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
21.0,348.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
21.5,357.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.0,323.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
22.5,311.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.0,275.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
23.5,262.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.0,238.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
24.5,213.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.0,186.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
25.5,161.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.0,136.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
26.5,93.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
27.0,89.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
27.5,74.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
28.0,46.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
28.5,51.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
29.0,29.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
29.5,19.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
30.0,12.0,0.05,0.05,0.05,1.0,500000.0,9.5e6,10000000
