poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
0.0,0.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
0.2,0.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
0.4,1.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
0.6,0.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
0.8,1.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
1.0,4.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
1.2,3.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
1.4,7.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
1.6,11.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
1.8,13.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
2.0,8.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
2.2,18.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
2.4,24.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
2.6,33.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
2.8,28.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
3.0,32.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
3.2,25.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
3.4,56.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
3.6,50.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
3.8,56.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
4.0,81.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
4.2,57.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
4.4,74.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
4.6,73.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
4.8,91.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
5.0,94.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
5.2,93.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
5.4,121.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
5.6,125.0,0.04,0.05,0.05,1.0,500000.0,9.5e6,0
