timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,CL-Con,Temperature,damp,N_heat,N_isot
4.285e6,0.14035337688976313,2.5035154788904697,0.46162654250364155,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,0.23118883655542335,3.2095945103957666,0.6019894960395553,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,0.36865297629669136,4.982390211461125,0.916461675637694,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,0.49578181434181856,4.61216753539569,0.866336970070753,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,0.6316992266781518,3.731232388099891,0.7005173617492557,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,0.7765730964377991,2.9977033119432654,0.5676586719256986,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,0.9118261737934198,2.3769578138354808,0.44633361274562844,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,1.0467729057487014,2.240673423271919,0.4207121440788728,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,1.1862805975307404,1.9889774724144087,0.37341730817039004,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,1.3291722231417957,1.7994260481700963,0.338008301038583,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,1.4707713835122431,1.6510054806428496,0.30934383232674106,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,1.6084526684259386,1.5367248370056588,0.28860800081309373,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,1.7510464099569683,1.4079077978008185,0.26453506994246634,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,1.8948722009262244,1.3268876220831547,0.24888645895233102,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,2.0331158518868166,1.2406879502208525,0.2326491302923638,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,2.1717551154026,1.1645925452250736,0.21826536742384559,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,2.3115065744531664,1.1024139252377947,0.20693044361967097,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,2.4517589855222015,1.0612246441613882,0.19931187483021406,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,2.5928660782449326,1.0219550091988492,0.19177456460798345,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,2.733969286639893,0.9591895843193246,0.18019568905998892,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,2.874637732216465,0.9232071845159787,0.1733322870874524,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,3.0146584286898803,0.8900775997137538,0.16724050662652043,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,3.154129197473871,0.847108273953516,0.1589256868487034,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,3.2951436030870127,0.8138914878933191,0.15288907745601882,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,3.435422222855883,0.77972559084772,0.1464193257617809,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,3.5758965302390724,0.7537647850922018,0.1415594839732966,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,3.7182917976163745,0.7290453666677885,0.13681929792533795,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,3.8592771901868836,0.7104507256424777,0.13335746882396488,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,3.998671825034765,0.6991697313723152,0.13124337371722467,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,4.138328464880112,0.6802807149889076,0.12777500977038705,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,4.277650979489294,0.6662070401084222,0.1250617099178336,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,4.418480022919902,0.6599904169054229,0.12388167210031406,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,4.559417152720413,0.6489894766425054,0.12191584219311768,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,4.700072919069511,0.6487180825880301,0.12184302334138733,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,4.840476814396357,0.6603777674344506,0.12394877144243392,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,4.980787286520819,0.6714290194479757,0.126046785318896,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,5.121288671183869,0.6904658217240154,0.12962795025419963,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,5.2610479620771216,0.7246154582640242,0.13611656769713032,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,5.401531308976948,0.7746187701698786,0.14546087292274676,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,5.542043472639002,0.8375298565181941,0.1571884979088981,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,5.681874099055399,0.9266608696843394,0.17391452921656658,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,5.822277572553842,1.0214709121473073,0.19173809910591585,0.03,0.05,0.05,1.0,500000.0,9.5e6
4.285e6,5.894841829370074,1.0886199307300202,0.20393291936873278,0.03,0.05,0.05,1.0,500000.0,9.5e6
