mag,Sq0,Sq10000000
1.0,0.38195667996763466,2.945753070429909
2.0,0.7289875118541091,5.680814612969358
3.0,0.6223576693451036,5.8992209738516985
4.0,0.6133639859319353,9.028316675593583
5.0,0.6364809053471626,6.4220442767649155
6.0,0.47856444351528754,7.835644748931333
8.0,0.6316646062631414,4.983253476982929
9.0,0.6171311737898306,5.939395194349895
10.0,0.5895519533651353,5.642118080217391
11.0,0.5108132622158692,5.81902027371175
12.0,0.46336516969845826,5.7577514052717325
13.0,0.5685132406442628,5.243114434800837
14.0,0.5604991020077164,4.775344798222537
16.0,0.43515166655186294,4.1655515529350655
17.0,0.45722498137843093,4.357721816933111
18.0,0.5614772465330123,4.213663415734544
19.0,0.3918753202507742,4.212428032933063
20.0,0.570279292116496,4.113667749743393
21.0,0.5352085128892681,3.990050098909501
22.0,0.46911358500189315,3.843224161399594
24.0,0.48910435729485024,3.179542477307615
25.0,0.5019493300918418,3.458196952807859
26.0,0.5260898591338024,3.7442318070368703
27.0,0.6176817627691953,3.1066880681753437
29.0,0.5200988961194235,3.035713616720723
30.0,0.6342773649465073,3.331472392648277
32.0,0.4886923736567604,2.980410071411387
33.0,0.6965335310398834,2.823980526321221
34.0,0.5364739822947032,3.1071636030861023
35.0,0.684043141628638,2.689628286273477
36.0,0.5770303260334468,2.9532859596318364
37.0,0.46590989326915594,2.7867743127212203
38.0,0.5831373072864211,2.6269695778390196
40.0,0.5359563008050549,2.5381061290067453
41.0,0.5279052346142625,2.72391893608684
42.0,0.5858539924505622,2.3414048016449147
43.0,0.4219779807858953,2.8271811875685473
44.0,0.7796196895263452,2.7431817314242215
45.0,0.5373430516843437,2.1608242685103605
46.0,0.5980583804756878,2.6430812956594196
48.0,0.4681098748012444,2.752086726144551
49.0,0.5626124278649393,2.368636395226174
50.0,0.5331498637500923,2.1210179437659002
51.0,0.5785783917396565,2.2093694148920577
52.0,0.5896510137487999,2.510697723460917
53.0,0.5965688727140607,2.341630488465022
54.0,0.5989567492688936,2.309986523622588
56.0,0.6117960006268764,2.2285856849442003
57.0,0.5361786951189305,2.0630858800985603
58.0,0.8059159467018262,2.2650573112835186
59.0,0.5246377581526045,2.2512361320741396
61.0,0.5864222724649694,2.2994946745605542
62.0,0.6385161781644293,2.254996907241556
64.0,0.6565616494459987,2.167676431830468
65.0,0.6338613857406211,2.0845826021531177
66.0,0.5712911124838194,2.1095042810393805
67.0,0.6209270087832242,1.8095010503251594
68.0,0.5971223015886272,2.1013409695862517
69.0,0.549160003529898,2.13250088793588
70.0,0.5992774618744491,1.9599792869357857
72.0,0.6197535040295988,1.801259126977426
73.0,0.6861686707978474,1.9940085792055575
74.0,0.6839823462621989,2.0525076394116972
75.0,0.5814260585044057,2.083085196003184
76.0,0.5094276600395983,1.9891203069320533
77.0,0.6259929990508294,1.8919980877799936
78.0,0.6219305485484616,1.7369923272924006
80.0,0.6478967216712562,2.157974611296811
81.0,0.5760481263318449,1.8562778141721552
82.0,0.5594994005367167,1.9839335196580778
83.0,0.5878383970939354,1.9553047589343107
84.0,0.6202900753099775,1.9084751883782307
85.0,0.5224470676487338,1.7815779883022596
86.0,0.6138174888336542,1.8961773042325556
88.0,0.5675709204707209,1.7408993850823182
89.0,0.6601199117053222,1.8709424912948434
90.0,0.676218163433766,1.945575439013288
91.0,0.6899801175321167,1.6354899393655449
93.0,0.616010783018032,1.6812664226234701
94.0,0.6254264547395544,1.8834144786299432
96.0,0.5759340090138623,1.9189417501275918
97.0,0.6797744055071363,1.6821316277974974
98.0,0.633602349666768,1.822681417994653
