 0.097     0.514594     0.182424
 0.195     2.761001     0.978779
 0.292     2.820861     1.000000
 0.389     2.611642     0.925832
 0.487     2.468942     0.875244
 0.584     1.993911     0.706845
 0.681     1.529386     0.542170
 0.779     1.293394     0.458510
 0.876     1.079261     0.382600
 0.973     0.917058     0.325099
 1.070     0.870276     0.308514
 1.168     0.746783     0.264736
 1.265     0.712878     0.252716
 1.362     0.623868     0.221162
 1.460     0.573043     0.203145
 1.557     0.580928     0.205940
 1.654     0.500383     0.177387
 1.752     0.492966     0.174757
 1.849     0.473925     0.168007
 1.946     0.457502     0.162185
 2.044     0.420664     0.149126
 2.141     0.400628     0.142023
 2.238     0.392413     0.139111
 2.336     0.377445     0.133805
 2.433     0.356839     0.126500
 2.530     0.346940     0.122991
 2.628     0.336528     0.119300
 2.725     0.323225     0.114584
 2.822     0.310046     0.109912
 2.919     0.299157     0.106052
 3.017     0.292557     0.103712
 3.114     0.287706     0.101992
 3.211     0.270714     0.095969
 3.309     0.266319     0.094411
 3.406     0.253922     0.090016
 3.503     0.252947     0.089670
 3.601     0.245162     0.086911
 3.698     0.239210     0.084800
 3.795     0.234677     0.083193
 3.893     0.228470     0.080993
 3.990     0.227349     0.080596
 4.087     0.224663     0.079643
 4.185     0.219457     0.077798
 4.282     0.214078     0.075891
 4.379     0.215346     0.076341
 4.477     0.215600     0.076431
 4.574     0.209593     0.074301
 4.671     0.213547     0.075703
 4.768     0.213050     0.075527
 4.866     0.210794     0.074727
 4.963     0.218857     0.077585
 5.060     0.218926     0.077610
 5.158     0.224221     0.079487
 5.255     0.235529     0.083496
 5.352     0.243966     0.086486
 5.450     0.252301     0.089441
 5.547     0.270318     0.095828
 5.644     0.286727     0.101645
 5.742     0.305585     0.108331
 5.839     0.325264     0.115307
 5.936     0.348671     0.123605
 6.034     0.371494     0.131695
 6.131     0.394843     0.139973
 6.228     0.415270     0.147214
 6.326     0.430119     0.152478
 6.423     0.440002     0.155981
 6.520     0.450520     0.159710
 6.617     0.442744     0.156953
 6.715     0.441594     0.156546
 6.812     0.438872     0.155581
 6.909     0.423765     0.150226
 7.007     0.414388     0.146901
 7.104     0.405703     0.143822
 7.201     0.393104     0.139356
 7.299     0.384809     0.136416
 7.396     0.378151     0.134055
 7.493     0.369596     0.131022
 7.591     0.358076     0.126939
 7.688     0.352061     0.124806
 7.785     0.347705     0.123262
 7.883     0.338860     0.120126
 7.980     0.333269     0.118144
 8.077     0.327334     0.116040
 8.175     0.323766     0.114776
 8.272     0.320054     0.113460
 8.369     0.314778     0.111589
 8.466     0.309516     0.109724
 8.564     0.307241     0.108917
 8.661     0.302691     0.107304
 8.758     0.299696     0.106243
 8.856     0.297968     0.105630
 8.953     0.294865     0.104530
 9.050     0.293337     0.103988
 9.148     0.290231     0.102887
 9.245     0.288327     0.102212
 9.342     0.286460     0.101551
 9.440     0.285065     0.101056
 9.537     0.282823     0.100261
 9.634     0.280975     0.099606
 9.732     0.278947     0.098887
 9.829     0.278652     0.098782
 9.926     0.274454     0.097294
10.024     0.275294     0.097592
10.121     0.275168     0.097548
10.218     0.276418     0.097991
10.315     0.276106     0.097880
10.413     0.278454     0.098713
10.510     0.278945     0.098887
10.607     0.281010     0.099618
10.705     0.284559     0.100877
10.802     0.287694     0.101988
10.899     0.292620     0.103734
10.997     0.296958     0.105272
11.094     0.302166     0.107118
11.191     0.309624     0.109762
11.289     0.316962     0.112363
11.386     0.324966     0.115201
11.483     0.333561     0.118248
11.581     0.340785     0.120809
11.678     0.347842     0.123311
11.775     0.354824     0.125786
11.873     0.362103     0.128366
11.970     0.366125     0.129792
12.067     0.370372     0.131297
12.164     0.377381     0.133782
12.262     0.378258     0.134093
12.359     0.375952     0.133276
12.456     0.373765     0.132500
12.554     0.374033     0.132595
12.651     0.371635     0.131745
12.748     0.365264     0.129487
12.846     0.362502     0.128508
12.943     0.358721     0.127167
