timeStep,qmean,Sqmean,Sqmeannorm
3.18e7,0.16640712653797785,0.35520180551585484,0.0007863641982601148
3.18e7,0.26644652718160705,1.6837798996686466,0.0037276393596212473
3.18e7,0.4146184035584643,8.392194343248224,0.01857907553929056
3.18e7,0.5721939835905296,15.569864180540465,0.03446937367215347
3.18e7,0.7372391047304465,16.42450886581408,0.036361430447474266
3.18e7,0.9110485184054838,26.94850373021626,0.05965999665836531
3.18e7,1.075891060681915,23.524524178077133,0.05207981296119452
3.18e7,1.2405125526094756,35.54261810587616,0.07868609324860314
3.18e7,1.4100753393638379,36.93899443146603,0.08177746365463805
3.18e7,1.5781649628537946,45.46818708466992,0.1006598331651257
3.18e7,1.7446683485012755,52.12429442556964,0.11539546916522547
3.18e7,1.9084264728269837,54.52973676613694,0.12072076230345731
3.18e7,2.073677887387049,60.44259866999452,0.1338109629675477
3.18e7,2.2433442279603497,73.92262802562371,0.16365375180519903
3.18e7,2.410935901692485,71.02643119576604,0.1572420008998032
3.18e7,2.5759721587773035,80.44014315798972,0.17808256517867835
3.18e7,2.7408751778542473,86.90348920635137,0.19239145622166243
3.18e7,2.9078190808239657,95.23023500900786,0.21082563838386284
3.18e7,3.075096969217735,96.96741362082004,0.21467149458475798
3.18e7,3.2415286478287078,105.99659338317277,0.23466076151558735
3.18e7,3.4093960864458897,109.95974409551498,0.24343459031966383
3.18e7,3.57536079712662,113.55224183637824,0.2513878483320844
3.18e7,3.739948284783737,126.49672319000824,0.28004501319856734
3.18e7,3.9073893900820065,128.8086496450995,0.2851632760144162
3.18e7,4.074087291048524,132.01218200326102,0.2922554222684801
3.18e7,4.239973016158672,143.70355781173154,0.3181383970209135
3.18e7,4.407323146499056,150.80641589025868,0.3338630729981787
3.18e7,4.574671793958157,164.6275308914745,0.3644609749463623
3.18e7,4.740685206894386,167.20310727871296,0.37016291967005843
3.18e7,4.9069750068880795,185.9959358718073,0.41176745928715436
3.18e7,5.072444808144045,200.25654982628157,0.44333834683577245
3.18e7,5.238882741566024,232.53908359282306,0.51480709611835
3.18e7,5.405923118956908,255.66919358089177,0.5660137344686836
3.18e7,5.572671841390216,304.9172814204004,0.6750417081680748
3.18e7,5.739172713052713,374.4496226007929,0.8289760150223443
3.18e7,5.905577090220496,451.70139523361235,1.0
3.18e7,5.990656555367199,2.0409509486604196,0.004518363171326655
