 0.245     5.126549     0.535048
 0.368     9.581466     1.000000
 0.490     6.519724     0.680452
 0.613     5.587476     0.583155
 0.736     4.557022     0.475608
 0.858     3.268787     0.341157
 0.981     2.821896     0.294516
 1.103     2.406523     0.251164
 1.226     2.330104     0.243189
 1.349     1.853511     0.193448
 1.471     1.836911     0.191715
 1.594     1.691410     0.176529
 1.717     1.538584     0.160579
 1.839     1.435631     0.149834
 1.962     1.345558     0.140433
 2.084     1.253939     0.130871
 2.207     1.226617     0.128020
 2.330     1.131775     0.118121
 2.452     1.127189     0.117643
 2.575     1.053888     0.109992
 2.697     1.003334     0.104716
 2.820     0.955667     0.099741
 2.943     0.887840     0.092662
 3.065     0.872566     0.091068
 3.188     0.837763     0.087436
 3.310     0.821599     0.085749
 3.433     0.810018     0.084540
 3.556     0.785722     0.082004
 3.678     0.732612     0.076461
 3.801     0.722890     0.075447
 3.924     0.714944     0.074617
 4.046     0.691174     0.072137
 4.169     0.682506     0.071232
 4.291     0.658827     0.068761
 4.414     0.658599     0.068737
 4.537     0.635282     0.066303
 4.659     0.646225     0.067445
 4.782     0.649500     0.067787
 4.904     0.640894     0.066889
 5.027     0.665228     0.069429
 5.150     0.672311     0.070168
 5.272     0.703664     0.073440
 5.395     0.738974     0.077125
 5.517     0.785510     0.081982
 5.640     0.846736     0.088372
 5.763     0.922823     0.096313
 5.885     1.011699     0.105589
 6.008     1.124918     0.117406
 6.130     1.213070     0.126606
 6.253     1.319462     0.137710
 6.376     1.357336     0.141663
 6.498     1.425078     0.148733
 6.621     1.420294     0.148234
 6.744     1.387866     0.144849
 6.866     1.359616     0.141901
 6.989     1.333998     0.139227
 7.111     1.292426     0.134888
 7.234     1.242677     0.129696
 7.357     1.194342     0.124651
 7.479     1.152262     0.120259
 7.602     1.124325     0.117344
 7.724     1.087478     0.113498
 7.847     1.048647     0.109445
 7.970     1.038810     0.108419
 8.092     1.022381     0.106704
 8.215     0.999135     0.104278
 8.337     0.984977     0.102800
 8.460     0.969306     0.101165
 8.583     0.960434     0.100239
 8.705     0.938366     0.097936
 8.828     0.921481     0.096173
 8.951     0.912943     0.095282
 9.073     0.899276     0.093856
 9.196     0.886943     0.092569
 9.318     0.881447     0.091995
 9.441     0.865837     0.090366
 9.564     0.877149     0.091546
 9.686     0.862822     0.090051
 9.809     0.851146     0.088833
 9.931     0.855126     0.089248
10.054     0.844492     0.088138
10.177     0.845264     0.088219
10.299     0.846173     0.088314
10.422     0.853552     0.089084
10.544     0.868960     0.090692
10.667     0.870588     0.090862
10.790     0.878477     0.091685
10.912     0.894021     0.093307
11.035     0.914058     0.095399
11.158     0.934724     0.097555
11.280     0.961815     0.100383
11.403     0.993327     0.103672
11.525     1.036133     0.108139
11.648     1.075662     0.112265
11.771     1.104406     0.115265
11.893     1.124003     0.117310
12.016     1.151409     0.120170
12.138     1.172554     0.122377
12.261     1.170553     0.122168
12.384     1.178609     0.123009
12.506     1.177382     0.122881
12.629     1.163698     0.121453
12.751     1.156368     0.120688
12.874     1.134697     0.118426
12.997     1.119152     0.116804
