 0.154     6.136677     1.000000
 0.309     5.677589     0.925189
 0.463     4.905247     0.799333
 0.618     3.818794     0.622290
 0.772     2.833344     0.461707
 0.927     2.342274     0.381684
 1.081     2.139076     0.348572
 1.236     1.885205     0.307203
 1.390     1.638464     0.266995
 1.545     1.627225     0.265164
 1.699     1.362121     0.221964
 1.854     1.406081     0.229127
 2.008     1.374452     0.223973
 2.163     1.248795     0.203497
 2.317     1.148778     0.187199
 2.472     1.099594     0.179184
 2.626     1.039156     0.169335
 2.781     0.987899     0.160983
 2.935     0.911096     0.148467
 3.090     0.878725     0.143192
 3.244     0.850999     0.138674
 3.399     0.780734     0.127224
 3.553     0.766701     0.124938
 3.707     0.735864     0.119912
 3.862     0.718975     0.117160
 4.016     0.682280     0.111181
 4.171     0.668582     0.108949
 4.325     0.667993     0.108853
 4.480     0.635899     0.103623
 4.634     0.633877     0.103293
 4.789     0.630289     0.102709
 4.943     0.635362     0.103535
 5.098     0.651130     0.106105
 5.252     0.682241     0.111174
 5.407     0.717741     0.116959
 5.561     0.778224     0.126815
 5.716     0.876501     0.142830
 5.870     0.964716     0.157205
 6.025     1.095950     0.178590
 6.179     1.257618     0.204935
 6.334     1.353009     0.220479
 6.488     1.441559     0.234909
 6.643     1.432881     0.233495
 6.797     1.428253     0.232740
 6.952     1.363128     0.222128
